82| Adam| S.| Peripatus etc.| F14| 056M
83| Mallock| W.H.| Studies of Contemporary Superstition| missing| 147M
84| Wright| J.| Garden Flowers and Plants| missing| 026M
85| Bayne| S.G.| The Pith of Astronomy; (without mathematics)| A15| 170M
86| Britton| N.L. and A. Brown| An Illustrated Flora of the Northern United States| G13| 130M
87| Schmidt| O.| The Doctrine of Descent and Darwinism| B09| 021M
88| Smith| J.B.| Economic Entomology| missing| 003M
89| Tyndall| J.| Sound| G04| 039M
90| Coues| E.| Key to North American Birds| G10| 104M
91| Britton| N.L. and A. Brown| An Illustrated Flora of the Northern United States| G14| 131M
92| Parsons| M.E. and M.W. Buck| The Wildflowers of California| F05lr| 083M
93| Peck| C.| Annual Report of the State Botanist| missing| 076M
94| Vincent| F.| The Plant World| A05| 005M
95| Audubon| M.R.| Audubon and His Journals; Volume 1| F12| 126M
96| Audubon| M.R.| Audubon and His Journals; Volume 2| F13| 127M
97| Britton| N.L. and A. Brown| An Illustrated Flora of the Northern United States| G15| 132M
98| Darwin| F.| The Life and Letters of Charles Darwin; Volume 1| D08| 105M
99| Spencer| H.| Principles of Biology| missing| 001M
100| Blaikie| W.| How to Get Strong and How to Stay So| B11| 118M
101| Darwin| F.| The Life and Letters of Charles Darwin; Volume 2| D08| 106M
102| Thomson| J.A.| The Science of Life; an outline of the history| A13| 007M
103|  | | Plays by Greek, Spanish, French, German, and English Dramatists| C01| 164M
104| Bergh| A.E.| Plays by Greek, Spanish, French, German, and English Dramatists| C02| 150M
105| Haeckel| E.| The Riddle of the Universe at the Close of the Nineteenth Century| C22rr| 070M
106| Huxley| L.| Life and Letters of Thomas Henry Huxley; Volume 1| D09| 091M
107| Huxley| L.| Life and Letters of Thomas Henry Huxley; Volume 2| D10| 092M
108| James| G.W.| In \& Around the Grand Canyon;| E01| 163M
109| Mabie| H.W.| William Shakespeare; Poet, Dramatist, and Man| A18| 017M
110| Spencer| H.| The Principles of Biology; volume II| B20| 038M
111| Starkweather| C.C.| French, German, and Italian Essays| missing| 037M
112| Twain| M.| The Man that Corrupted Hadleyburg and other stories and essays| C11| 002M
113| Wilson| E.| Sacred Books of the East; comprising the Vedic hymns| E03| 178M
114| Darwin| C.| The Descent of Man and Selection in Relation to Sex| B07| 107M
115| Ward| H.M.| Disease in Plants| A25| 004M
116| Cockerell| D.| Book Binding, and the Care of Books; A handbook| B22| 019M
117| Prichard| H.H.| Through the Heart of Patagonia| G03| 029M
118| Fletcher| H.| The A.B.-Z. of Our Own Nutrition| B18| 141M
119| Metchnikoff| É.| The Nature of Man; Studies in Optimistic Philosophy| D13| 172M
120| Nasmyth| J. and J. Carpenter| The Moon| missing| 042M
121| Conant| C.A.| Wall Street and the Country| B14| 102M
122| Sargent| C.S.| Manual of the Trees of North America| G07| 033M
123| Ingersoll| E.| The Life of Animals; The Mammals| A21| 073M
124| Roosevelt| T.| African Game Trails| missing| 074M
125| James| G.W.| The Wonders of the Colorado Desert; Volume 1| E11| 093M
126| James| G.W.| The Wonders of the Colorado Desert; Volume 2| E12| 094M
127| Godley| A.D.| Oxford in the Eighteenth Century| E02| 062M
128| Gray| A.| A Handbook of Flowering Plants and Leaves| missing| 069M
129| Harnady| W.T.| Camp-Fires on Desert and Lava| missing| 032M
130| Spruce| R.| Notes of a Botanist on the Amazon and Andes; Volume 1| missing| 065M
131| Spruce| R.| Notes of a Botanist on the Amazon and Andes; Volume 2| missing| 066M
132| Duff| A.W.| A Text-Book of Physics| D11| 124M
133| McCook| H.C.| Ant Communities and how they are Governed| F07| 154M
134| Powell| L.P.| Heavenly Heretics| C08| 014M
135| Smith| G.| Crustacea and Arachnids| F04| 049M
136| Sharp| D.| Insects; Part II| F02| 030M
137| Gadow| H.| Cambridge Natural History; Volume 8, Amphibia and Reptiles| F01| 095M
138| Evans| A.G.| Birds| missing| 096M
139| Beddard| F.E.| Mammalia| F03| 157M
140| Smith| J.B.| Our Insect Friends and Cousins| missing| 031M
141| | | Plutarch's Lives; the translation called Dryden's; Volume 1| E05| 109M
142| | | Plutarch's Lives; the translation called Dryden's; Volume 2| E06| 110M
143| | | Plutarch's Lives; the translation called Dryden's; Volume 3| E07| 111M
144| | | Plutarch's Lives; the translation called Dryden's; Volume 4| E08| 112M
145| | | Plutarch's Lives; the translation called Dryden's| E04| 175M
146| Grey| Z.| Heritage of the Desert| missing| 050M
147| Hammarström| N.| The Adventures of Two Ants| F21rr| 158M
148| Stevens| G.T.| An Illustrated Guide to the Flowering Plants| G11| 048M
149| Westell| W.P.| The Book of the Animal Kingdom; Mammals| F20arr| 160M
150| Smith| E.| Life of Sir Joseph Bank| missing| 043M
151| Wallace| A.R.| The World of Life; a Manifestation of Creative Power| F16| 045M
152| Walters| H.B.| The Art of the Romans| G02| 099M
153| Sadler| W.S.| The Cause and Cure of Colds| A02| 016M
154| Comstock| J.H.| The Spider Book| G01| 165M
155| Soddy| F.| Matter and Energy| A03| 013M
156| Thaddeus| H.J.| Recollections of a Court Painter| missing| 098M
157| Fabre| J.H.| Life of the Spider| missing| 151M
158| Fitch| M.H.| Universal Evolution| B23rr| 159M
159| Pycraft| W.P.| The Infancy of Animals| C18| 088M
160| Sedgwick| W.| Man and his Future| missing| 173M
161| Pycraft| W.P.| The Courtship of Animals| C19| 064M
162| Berget| A.| The Earth; Its Life and Death| C13| 120M
163| Fabre| J.H.| Social Life in the Insect World| F11| 100M
164| Fabre| J.H.| The Hunting Wasps| F10| 152M
165| Reese| A.M.| The Alligator and Its Allies| F08| 034M
166| Cornaro| L.| The Art of Living Long| C16| 101M
167| Quiller-Couch| A.| Notes on Shakespeare's Workmanship| A22| 046M
168| Perry| H.| Theories of Energy| B16| 025M
169| Ziegler| V.| Popular Oil Geology| A23| 011M
170| Fisher| I. and E.L. Fisk| How To Live; Rules for Healthful Living| C03| 072M
171| Maxwell| J.C.| Matter and Motion| A14| 061M
172| Tylor| E.B.| Primitive Cultures; Volume 1| E09| 040M
173| Tylor| E.B.| Primitive Cultures; Volume 2| E10| 041M
174| Bird| J.M.| Einstein's Theory of Relativity and Gravitation| B13| 153M
175| Gillett| L.H.| Food for Health's Sake| A08| 115M
176| Hart| T.S.| Taking Care of Your Heart| A06| 117M
177| Howell| W.H.| The Human Machine; how your body functions| A10| 116M
178| Winslow| C.A.| Man and Microbes; how communicable diseases are controlled| A07| 114M
179| Wood| F.C.| Cancer; nature, diagnosis, and cure| A09| 113M
