Entry format

Num AJB_ID Author [and author [and…]] [ed.|comp.], Title, Place, Publisher, year, description, price, review [and review [and …]], comments
22 59.84(0).38 N. I. Kutscherow, Die neuesten Ergebnisse über Lebel auf Mars, Moskau, Verlag <<Snanie>>, 1959, 44 pp, 85 Kop., Priroda 48 Nr. 8 122, in Russian;

23 59.84(0).66 , Ergebnisse der Marsbeobachtungen während der Perihel-opposition 1956 in der UdSSR, Moskau, Verlag Akad. Wiss. UdSSR, 1959, 194 pp, 8R. 80 Kop., Priroda 49 Nr. 4 123, in Russian;

24 59.71(0).11 A. Beiser, Our Earth, , Dutton, 1959, 123 pp, $3.25, Sky Tel. 18 699, 

25 59.71(0).24 B. Gutenberg, Physics of the Earth’s Interior, New York, Academic Press, 1959, 240 pp, $8.50, Ann. Géophys. 16 297 and Ciel et Terre 76 143 and Geophys. J. RAS 3 283 and Phil. Mag. (8) 5 421 and Science 131 1216, 

26 59.71(0).26 P. M. Hurley, How Old is the Earth?, New York, Doubleday & Company Inc., 1959, 160 pp, $0.95, Sky Tel. 19 48, 

27 59.71(0).28 H. Jeffreys, The Earth comma Its Origin comma History and Physical Constitution, Cambridge, University Press, 1959, 16+420 pp, 75s, Ciel et Terre 75 268 and Geophys. J. RAS 3 282 and Nature 184 1007 and Naturwissenschaften 46 540, 4th edition;

28 59.71(0).47 A. F. Spilhaus, Satellite of the Sun; The Science of the Earth and its Surroundings, New York, Viking Press, 1958, 119 pp, $3.50, , 

29 59.71(0).50 K. Stumpff, Planet Earth, Ann Arbor MI, University of Michigan Press, 1959, 191 pp, $5.00, Sky Tel. 18 402, reprint of AJB 55.72.23;translated from German;in English;

30 59.71(0).59 L. H. Ahrens and F. Press and K. Rankama and S. K. Runcorn ed., Physics and Chemistry of the Earth vol 3, London, Pergamon Press, 1959, , , Ann. Géophys. 16 156, 

31 59.71(0).60 A. C. Spectorsky ed., The Book of Earth: being a Collection of Writings about the Earth in all its Aspects, New York, Appleton-Century-Crofts, 1957, 497 pp, $12.50, , 

32 59.72(0).31 T. Loebsack, Our Atmosphere, New York, Pantheon, 1959, 256 pp, $5.00, Science 130 262, translated from German by E. L Rewald and D. Rewald;in English;

33 59.72(0).32 H. S. W. Massey and R. L. F. Boyd, The Upper Atmosphere, London, Hutchinson & Co. Ltd., 1958, 12+333 pp, 63s and $17.50, Endeavour 18 163 and Proc. IRE 47 1791 and Publ ASP 71 357 and Sky Tel. 18 462 and Sky Tel. 18 698, also published New York: Philosophical Library Inc.;other New York publication in 1959; 

34 59.75(0).32 P. G. Konjajew, Zu den höheren Schichten der Atmosphäre Die Schafflung künstlichter Erdsatelliten und die Untersuchung der Ionosphäre, Belgorod, Buchverlag, 1959, 60 pp, 95 Kop., , in Russian;

35 59.75(0).50 J. A. Ratcliffe, The Magneto-Ionic Theory and its Application to the Ionosphere, New York-London, Cambridge University Press, 1959, 10+206 pp, $7.50 and 40s, Ciel et Terre 75 170 and Nature 187 810 and Publ ASP 71 354, 

36 59.78(0).08 M. A. Ellison, The Sun and Its Influence: An Introduction to the Study of Solar-Terrestrial Relations, London, Routledge and Kegan Paul Ltd., 1959, 14+237 pp, 25s, Nature 186 69, 2nd edition;also published Moskau: Phys.-Math. Staatsverlag;other translated into Russian cost 7R. 10 Kop; 

37 59.79(0).04 S. Chapman, Year of Discovery – The Story of the International Geophysical Year, Ann Arbor, University of Michigan Press, 1959, 112 pp, $4.95 and 40s, Nature 187 185, also published London: The Mayflower Publishing Co. Ltd;

38 59.79(0).11 W. Sullivan, The International Geophysical Year, , Carnegie Endowment for International Peace, 1959, 78 pp, $0.25, J. Atmosph. Terr. Phys. 16 397, 

39 59.61(0).02 K. Kiepenheuer, The Sun, Ann Arbor, University of Michigan Press, 1959, 160 pp, $5.00, Sky Tel. 19 48 and Sky Tel. 19 176, reprint of AJB 57.60.09;in English;

40 59.61(0).06 D. H. Menzel, Our Sun, Cambridge MA, Harvard University Press, 1959, 10+350 pp, $7.50, J RAS Canada 54 199 and J. Optical Soc. America 50 496 and Sky Tel. 19 119 and Sky Tel. 19 301, other revised edition; 

41 59.51(0).01 F. A. Baum and S. A. Kaplan and K. P. Stanjukowitsch, Einführung in die kosmische Gasdynamik, , , , , , Math. Rev 21 224 and ZfMG 84 239, reference AJB 58.50.04;

42 59.51(0).09 J. W. Dungey, Cosmic Electrodynamics, , , , , , ZfMG 82 236, reference AJB 58.50.09;

43 59.51(1).44 D. A. Frank-Kamenezkij ed., Magethydrodynamik, Moskau, Atom-Verlag, 1958, 122 pp, 4R. 60 Kop, , reprint of AJB 57.11.86;in Russian;

44 59.52(0).08 S. A. Kaplan, Interstellare Gasdynamik, , , , , , AJ UdSSR 37 593, reference AJB 58.53.05;

45 59.54(0).13 A. S. Eddington, The Internal Constitution of Stars, New York, Dover, 1959, 16+407 pp, $2.25, Publ ASP 72 223 and Sky Tel. 19 434 and ZfA 50 77, 

46 59.54(0).23 W. S. Jardetzky, Theories of Figures of Celestial Bodies, , , , , , Math. Rev. 20 1039 and Phil. Mag. (8) 4 784, reference AJB 58.43.01;

47 59.54(0).24 M. Johnson, Astronomy of Stellar Energy and Decay, New York, Dover Publications, 1959, 216 pp, $1.50, Publ ASP  72 223, reprint of AJB 51.50.09;

48 59.54(0).36 E. Schatzman, White Dwarfs, , , , , , Naturwissenschaften 47 118, reference AJB 58.97.21;

49 59.56(0).12 O. Schmidt, A Theory of the Origin of the Earth: Four Lectures, Moskau, Foreign Language Publishing House, 1958, 139 pp, 4s 6d, Spaceflight 2 124, reprint of AJB 57.55.10;translated from Russian;also published London: Lawrence & Wishart;

50 59.41(0).07 E. Finlay-Freundlich, Celestial Mechanics, , , , , , AJ UdSSR 37 188 and Math. Rev. 21 884 and Nature 186 60 and ZfMG 82 235, reference AJB 58.42.10;

51 59.41(0).11 Y. Hagihara, Stability in Celestial Mechanics, , , , , , Nature 186 60, reference AJB 57.42.10;

52 59.41(0).20 R. Kurth, Introduction to the Mechanics of the Solar System, London-New York-Paris-Los Angeles, Pergamon Press, 1959, 9+177 pp, £2 2s, Ciel et Terre 75 379 and Sky Tel. 19 306 and Sky Tel. 19 493, 

53 59.43(0).10 R. Kurth, Introduction to the Mechanics of Stellar Systems, , , , , , ZfMG 84 238, reference AJB 57.44.10;

54 59.43(0).12 K. F. Ogorodnikow, Dynamik von Sternsystemen, , , , , , RH 40 104, reference AJB 58.44.18;

55 59.44(0).06 J. A. Coleman, Relativity for the Layman, New York, Macmillan, 1959, 10+127 pp, $3.50, J RAS Canada 53 239 and Science 131 822, also published Harmondsworth Middlesex: Penguin Books Ltd.;other see also 59.44.07; 

56 59.44(0).07 J. A. Coleman, Relativiteitstheorie voor de leek, Utrecht-Antwerpen, Het Spectrum, 1959, 162 pp, f 1.25, Hemel en Dampkring 58 184, reprint of AJB 59.44.06;translated from English;

57 59.44(0).14 V. Fock, The Theory of Space comma Time and Gravitation, London-New York, Pergamon Press, 1959, 18+411 pp, 100s, Nature 187 4 and Phil. Mag. (8) 5 199, translated from Russian by N. Kemmer;in English;

58 59.44(0).38 W. Pauli, The Theory of Relativity, , , , , , La Nature 87 510 and Nature 187 4 and Publ ASP 71 354, reference AJB 58.41.56;

59 59.44(0).41 L. Riger, Einführung in die Kosmologie, Moskua, Verlag für Ausländische Literatur, 1959, 130 pp, 4R., , translated from Tschechischen;in Russian;

60 59.44(0).43 B. Russell, The ABC of Relativity, London, Allen and Unwin, 1959, 139 pp, $3.50, Science 131 822, also published Fair Lawn NJ: Essential Books;

61 59.44(0).45 D. W. Sciama, The Unity of the Universe, Garden City NY, Doubleday Anchor Books, 1959, 228 pp, $3.95, Sky Tel. 19 119 and Sky Tel. 19 432, 

62 59.44(0).49 G. J Whitrow, The Structure and Evolution of the Universe: An Introduction to Cosmology, London, Hutchinson & Co. Ltd., 1959, 11+212 pp, 21s, Endeavour 19 119 and Irish AJ 5 182 and Obs 79 191 and Proc. Phys. Soc. 74 384 and Publ ASP 71 553 and Sky Tel. 18 462 and Sky Tel. 18 697, 2nd edition;

63 59.44(0).50 G. J. Whitrow, Le struttura dell’universo, Milano, Longanesi e C., 1958, 305 pp, 1800 L, , 

64 59.31(0).29 , Astronomical Results from Observations made at the Royal Observatory Greenwich in the Year 1953, London, Her Majesties Stationary Office, 1959, 7+A72 pp, £1 5s, , 

65 59.32(0).22 , Geschichte des Fixsternhimmels comma enthaltend die Sternörter der Katalog dew 18 und 19 Jahrhunderts, Berlin, Akademie-Verlag, , 15+188 pp, , , 

66 59.32(1).26 A Bečvář, Atlas Eclipticalis 1950.0, , , , , , AJ UdSSSR 37 782 and J RAS Canada 54 90, reference AJB 58.91.39;

67 59.32(1).27 A Bečvář, Atlas Coeli II – Katalog 1950.0, Prag, Verlag Akad. Wiss., 1959, 368 pp, 41 Kčs, RH 41 100 and RJ UdSSR 1960 Nr. 7 48, 

68 59.32(1).28 A. Brun, Atlas des <<Selected Areas>> du Mont-Wilson, , , , , , Ann d’Astrophys 22 190, other no publishing info; 

69 59.32(1).29 V. de Callataÿ, Atlas of the Sky, , , , , , J. British Interplanetary Soc. 17 192, reference AJB 58.91.41;

70 59.32(1).31 J. Klepeštra and A. Rükl, Mapa severní hvězdné oblohy, Prag, Verlag USGK, 1958, , 23 Kčs, RH 40 120 and Vesmír 38 285, 

71 59.36(0).25 A. A. Michajlow, Tafeln zur genäherten Lösung des umgekehrten geodätischen Problems, Leningrad, Verlag Akad. Wiss. UdSSR, 1958, 100 pp, 14R. 10 Kop., AJ UdSSR 36 973, in Russian;

72 59.36(0).29 T. Niethammer, Die genauen Methoden der astronomisch-geographischen Ortsbestimmung, Moskau, Geod. Staatsverlag, 1958, 192 pp, 10R. 55 Kop., RJ UdSSR 1959 Nr. 10 23, reprint of AJB 47.21.03;in Russian;

73 59.36(0).39 A. Tárczy-Hornoch and W. K. Hristow, Tafeln für das Krassowsky-Ellipsoid, Budapest, Akadémiai Kiadó, 1959, 219 and 440 pp, , Gerlands Beiträge Geophys. 69 128, 

74 59.36(0).42 P. V. H. Weems and C. V. Lee, Marine Navigation, , , , , , J. Inst. Navigation 12 113, reference AJB 58.133.35;

75 59.36(0).43 , Höhen und Azimute von Gestirnen Band 3 Für die Breiten 40° -- 59°, Moskau, Hydrograph. Dienst Hochseeflotte, 1959, 10+295 pp, 54R. 70 Kop., , in Russian;

76 59.21(0).25 N. Mayall and M. Mayall and J. Wyckoff, The Sky Observer’s Guide, New York, Golden Press, 1959, 125 pp, $2.95, J RAS Canada 54 90 and Publ ASP 72 143 and Sky Tel. 19 119 and Sky Tel. 19 366 and Sky Tel. 19 369 and Strolling Astronomer 13 153, 

77 59.22(0).16 N. E. Howard, Standard Handbook for Telescope Making, New York, T. Y. Crowell Company, 1959, 10+326 pp, $5.95, J RAS Canada 54 200 and Publ ASP 72 222 and Sky Tel. 19 181 and Sky Tel. 20 158 and Strolling Astronomer 14 94, 

78 59.22(0).19 A. König and H. Köhler, Die Fernrohre und Entfernungsmesser, Berlin-Göttingen-Heidelberg, Springer-Verlag, 1959, 8+475 pp, DM 88.00, Coelum 28 58 and Mitt. Planetenbeobachtur 13 16 and Optik 17 232 and Sky Tel. 19 434 and VdS Nachr.  9 Nr. 3 8 and Z. Instrumentenkunde 68 124, 3rd edition;

79 59.22(0).37 H. Rohr, Das Fernrohr für Jedermann, Zürich-Stuttgart, Rascher Verlag, 1959, 186 pp, DM 9.80, Sterne 36 174, 

80 59.22(0).39 A. Rybarski, Teleskop zwierciadlany w wykonaniu amatorskim, Warszawa, Państw. Zakl. Wydawn. Szkoln., 1958, 118 pp, 8 zł, RJ UdSSR 1960 Nr. 2 72, 

81 59.22(0).46 A. Staus, Fernrohrmontierungen und ihre Schutzbauten, München, UNI-Druck, 1959, 67 pp, DM 8.00, Sky Tel. 19 306 and Sterne 35 208 and Sternenbote 3 23 and VdS Nachr. 8 61, 2nd edition;

82 59.22(0).47 J. Texereau, Les télescopes du type Cassegrain, Paris, Société Astronomique de France, 1959, 42 pp, 400 fr., J. Astr. Soc. Victoria 12 69, other sammlung eineiger Aufsätze aus BSAF 70, 71 ref AJB 56.21.21 and AJB 57.21.28; 

83 59.23(0).57 J. S. Jensen ed., Applied Solar Energy Research, Phoenix AZ, Association for Applied Solar Energy, 1959, 21+275 pp, $7.50, Science 130 1651 and Sky Tel. 19 181, 

84 59.24(0).02 H. J. Cowan, Time and its Measurement: from the Stone Age to the Nuclear Age, Cleveland, World Publ. Co., 1958, 159 pp, $4.95, , 

85 59.24(0).04 B Decaux, La mesure précise du temps en fonction des exigencies nouvelles de la science, Paris, Masson et Cie. Editeurs, 1959, 126 pp, 1300 F., Ann d’Astrophys 22 294 and Ann. Françaises Chronométrie (2) 13 265 and Ciel et Terre 75 324 and La Nature 87 509 and Mem SA It (NS) 30 347 and RJ UdSSR 1960 Nr. 2 14, 

86 59.24(1).42 L. M. Loske, Die Sonnenuhren comma Kunstwerke der Zeitmessung und ihre Geheimnisse, Berlin-Göttingen-Heidelberg, Springer-Verlag, 1959, 8+88 pp, DM 7.80, Mitt. Planetenbeobachter 12 30 and Phys. Blätter 15 332 and ZfA 48 302, 

87 59.25(0).08 S. A. Kaplan, Jak vidět comma slyšet a fotografovat umělé družice Země, Prag, Verlag techn. Literatur, 1959, 88 p, 3.25 Kčs, RH 40 159 and Vesmír 38 318, translated from Russian;

88 59.25(0).12 T. Rackham, Astronomical Photography at the Telescope, New York, Macmillan, 1959, 232 pp, $7.50 and 36s, Nature 186 190 and Obs 79 224 and Publ ASP 72 221 and Sky Tel. 18 699 and Sky Tel. 19 241 and Spaceflight 2 252 and Urania København 16 64, also published London: Faber & Faber Ltd.;

89 59.11(0).01 G. Abetti, Explorazione dell’Universo, Bari, Laterza, 1959, 332 pp, L 2000, Astronautica 8 120 and Coelum 27 127, 

90 59.11(0).02 G. Abetti and M. Hack, Le nebulose e gli universi-isole, Torino, Ed. Sci. Einaudi, 1959, 10+354 pp, L 3000, Astronautica 8 205 and Coelum 28 180, 

91 59.11(0).03 L. H. Aller, Astrophysics: Nuclear Transformations comma Stellar Interiors comma and Nebulae, Moskau, Verlag für Ausländische Literatur, 1957, 325 pp, 17R. 75 Kop, , reprint of AJB 54.50.01;in Russian;

92 59.11(0).04 R. H. Baker, Astronomy: A Textbook for University and College Students, Princeton-Toronto-London-New York, D. van Nostrand Company Inc., 1959, 8+547 pp, 52s 6d, Nature 186 69 and Sky Tel. 18 344 and Sky Tel. 18 459, 7th edition;

93 59.11(0).05 F. Barmwater, Astronomi, Købehavn, Gads Forlag, 1959, 115 pp, kr. 15, NAT 1959 146, 

94 59.11(0).06 P. Bergsøe, Verdensrummet og Vi, København, Glydendal, 1959, 334 pp, 29.75 kr and 37 kr and 46 kr, NAT 1959 71 and PAT 40 157 and Urania København 16 40, 

95 59.11(0).07 B. J. Bok, The Astronomer’s Universe, , , , , , J RAS Canada 54 234 and Obs 79 192 and ZfMG 84 239, reference AJB 58.05.08;

96 59.11(0).08 E. Broda, Sily wazechswiata o cloneach promieniach i atomach, Warszawa, <<Wiedza Powszechnaz>>, 1957, 258 pp, 13 zł, , translated from German;

97 59.11(0).09 W. Brunner, Die Welt der Sterne, Würzburg, Physica-Verlag, 1959, 258 pp, DM 16.00, , 2nd edition;

98 59.11(0).10 A. Danjon, Astronomie générale: Astronomie sphérique et éléments de mécanique celeste, Paris, J. & R. Sennac, 1959, 446 pp, NF 90, , 2nd edition;

99 59.11(0).11 R. D. Davis and H. P. Palmer, Radio Studies of the Universe, London, Routledge and Kegan Paul Ltd., 1959, 11+200 pp, $5.00 and 25s, Nature 186 59 and Obs 79 191 and Sky Tel. 19 181 and Sky Tel. 19 366, also published New York-Toronto-London-Princeton: D. van Nostrand Ltd.;

100 59.11(0).12 M. G. Frascastoro, Corso di Astronomia, Catania, Università degli Studi, 1959, 12+280 pp, L. 2000, Coelum 27 127, 

101 59.11(0).13 J. Gadomski, Człowick tworsy własny firmament, Warszawa, Iskry, 1959, 120 pp, 6 zł, Urania Kraków 30 428, 

102 59.11(0).14 J. Gadomski, Obrazy nieba, Warszawa, Nasza Ksjęgarnia, 1959, 192 pp, 65 zł, Urania Kraków 30 396, 

103 59.11(0).15 G. Gamow, Matter comma Earth comma and Sky, London, Macmillan & Co. Ltd., 1959, 14+593 pp, 50s, ZfMG 83 393, 

104 59.11(0).16 G. Gamow, Die Geburt des Alls, München, H. Reich Verlag, 1959, 158 pp, DM 9.80, Phys. Blätter 15 578 and VdS Nachr. 9 15 and ZfA 49 229, translated  by W. Petri;

105 59.11(0).17 F. Gaynor, Concise Dictionary of Science, New York, Philosophical Library, 1959, 6+546 pp, $10.00, Publ ASP 71 356 and Sky Tel. 18 699, 

106 59.11(0).18 A. Gieß, Der Horizont, Kassel, , 1959, 95 pp, , , 

107 59.11(0).19 H. Haber, Legendiges Weltall, Hamburg, Blüchert Verlag, 1959, 271 pp, DM 13.80, VdS Nachr. 9 84, 

108 59.11(0).20 T. Hatanaka, The Universe and Stars, Tokyo, , 1957, , , Heavens 41 105, in Japanese;

109 59.11(0).21 F. Hoyle, De donkere wolk, Baarn, Hollandia, 1959, 227 pp, f 7.90, Hemel en Dampkring 57 301, 

110 59.11(0).22 M. O. Hyde, Exploring Earth and Space, New York-Toronto-London, McGraw-Hill Book Co., 1959, 160 pp, $3.00, Sky Tel. 19 119, 

111 59.11(0).23 J. Klepešta and J. Sadil, Vesmír, Prag, Verlag Orbis, 1959, 153 pp, 23 Kčs, RH 41 62, 

112 59.11(0).24 P. Kunaver, Putovanje po nebu, Sarajevo, <<Svjetlost>>, 1958, 135 pp, , , 

113 59.11(0).25 R. W. Kinizkij, Der Bau des Weltalls, Moskau, Phys.-Math. Staatsverlag, 1959, 64 pp, 1R. 5 Kop., , 

114 59.11(0).26 C. Lebossé and C. Hémery, Travaux pratiques d’arithmétique et d’astronomie; Classe de 6e programme de 1957, Paris, F. Nathan, 1958, 58 pp, 130 fr, , 

115 59.11(0).27 I. M. Levitt, Target for Tomorrow, , Fleet, 1959, 328 pp, $4.95, Sky Tel. 18 699, 

116 59.11(0).28 A. C. B. Lovell, The Individual and the Universe, London, Oxford University Press, 1959, 7+111 pp, 10s 6d and $3.00, AJ UdSSR 36 1139 and Ciel et Terre 75 267 and Endeavour 18 161 and J. Inst. Navigation 12 260 and J RAS Canada 53 237 and Mem SO It (NS) 30 145 and Nature 183 1624 and Obs 79 114 and Sky Tel. 18 699 and Sky Tel. 19 116, also published New York: Harper & Brothers;other translated into German by K. Rohlfs??; 

117 59.11(0).29 L. Mattersdorf, Insight into Astronomy, New York, Lantern Press, 1959, 247, $4.00, Sky Tel. 18 579, 

118 59.11(0).30 T. G. Mehlin, Astronomy, New York, John Wiley & Sons Inc., 1959, 8+392 pp, $7.95 and 64s, El Universo 13 206 and J RAS Canada 54 145 and J. Atmosph. Terr. Phys. 16 400 and Proc. Phys. Soc. 75 813 and Publ ASP 72 65 and Sky Tel. 18 522 and Sky Tel. 19 115 and Spaceflight 2 252 and ZfA 49 229, also published London: Chapman & Hall;

119 59.11(0).31 J. Mielants, De mens en de sterren, Antwerpen, De Sikkel N. V., 1959, 140 pp, f 3.75, Hemel en Dampkring 58 184, 

120 59.11(0).32 P. Moore, L’Astronomie, Firenze, Sansoni, 1959, 375 pp, L. 1000, Coelum 28 87, reprint of AJB 57.05.46;translated from English by G. Cecchini;in Italian;

121 59.11(0).33 V. L. Nadolschi, Curs de astronomie generalǎ Part 1, Iaşi, Lit. Inv., 1957, 237 pp, 18.20 Lei, , 

122 59.11(0).34 J. Nangle, Stars of the Southern Heavens, , Angus and Robertson Ltd., 1958, , 18.00, MN ASSA 18 45, edited by H. Wood;

123 59.11(0).35 C. Orr jr., Between Earth and Space, New York, Macmillan, 1959, 9+253 pp, $4.95, Science 129 1480 and Sky Tel. 18 462, 

124 59.11(0).36 W. Oskanjan, Der Sternhimmel, Belgrad, <<Narodna Kniga>>, 1958, 92 pp, , , in Serbo-Croatian;

125 59.11(0).37 L. W. Page, A Dipper Full of Stars, Chicago, Follett Publishing Co., 1959, 223 pp, $2.95, Sky Tel. 18 344 and Sky Tel. 18 578, 

126 59.11(0).38 P. P. Parenago, Hvězdná astronomie, Prag, Verlag Akad. Wiss., 1959, 544 pp, 27.50 Kčs, RH 41 39, translated from Russian;in Czechoslovakian;

127 59.11(0).39 J. C. Pecker and E. Schatzman, Astrophysique Générale, Paris, Masson et Cie Editeurs, 1959, 10+756 pp, 13000 Fr., Ann d’Astrophys 23 302 and Ann. Géophys. 16 158 and BSAF 74 44 and Ciel et Terre 76 143 and Endeavour 19 171 and Mem SA It (NS) 30 345 and La Nature 88 221 and Orion Schaffhausen 5 800 and Phys. Blätter 16 441 and Sky Tel. 19 181 and Sky Tel. 19 495 and ZfA 50 76, 

128 59.11(0).40 J. Perelman, Saistošā astronomija, Riga, , 1958, , , Zvaigžņotā Debess 1959 gada vasara S. 53, other spelling of review journal; 

129 59.11(0).41 J. Pfieffer, From Galaxies to Man, New York, Random House, 1959, 184 pp, $3.95, Science 130 1105, 

130 59.11(0).42 J. Pfieffer, Het nieuwe heelal; ontdekkingen der radio-astronomie, Utrecht-Antwerpen, Prisma-boeken, 1959, 231 pp, f 1.25, Hemel en Dampkring 57 300, 

131 59.11(0).43 I. F. Polak, Zeit und Kalender, Moskau, Phys.-Math. Staatsverlag, 1959, 48 pp, 65 Kop., , 4th edition;in Russian;

132 59.11(0).44 P. I. Popow and N. J. Bugoslawskaja, Praktikum zur Astronomie, Moskau, Lehr-pädagog Staatsverlag, 1959, 123 pp, 2R. 50Kop., , 2nd edition;in Russian;

133 59.11(0).45 F. Rapf, Zagadnienia z astronimii elementarnej; Zbiór-zadań, Warsawa, Państw. Zakł. Wydawn. Szkoln., 1957, 84 pp, 3.55 zł, , 

134 59.11(0).46 M. Rigutti, Appunti di Astronomia, Firenze, Ed. Universitaria, 1959, 138 pp, , , 

135 59.11(0).47 P. Rousseau, Histoire de l’Avenir, Paris, Hachette, 1959, 342 pp, 990 FF, Ciel et Terre 75 267, 

136 59.11(0).48 L. Rudaux and G. de Vaucouleurs, Larousse Encyclopedia of Astronomy, London, Putnam & Co., 1959, 506 pp, $15.00, J. Astr. Soc. Victoria 13 12 and Science 130 1704 and Sky Tel.19 181 and Sky Tel. 19 431, translated  by M. Guest and J. B. Sidgwick;in English;other proofread by Z. Kopal; 

137 59.11(0).49 K. Rudnicki, Astronomia, Warsawa, Państwowe Zakłady Wydawnictw Szkolnych, 1959, 191 pp, 5.50 zł, , other textbook for the 11th class of middle school; 

138 59.11(0).50 W. Schroeder, Praktische Astronomie für Sternfreunde, Stuttgart, Franckh, 1959, 180 pp, DM 16.80, , 2nd edition;

139 59.11(0).51 H. Shapley, Of Stars and Men, , , , , , El Universo 13 207, reference AJB 58.06.52;

140 59.11(0).52 H. Shapley, Världsrymden och vi comma Människans plats i den nya världsbilden, , Natur och Kultur, 1959, 170 pp, 15:50 and 20:00, , 

141 59.11(0).53 J. B. Sidgwick, Introducing Astronomy, London, Faber & Faber Ltd., 1959, 259 pp, 6s, Nature 185 131 and Spaceflight 2 124, 

