Entry format

Num AJB_ID Author [and author [and…]] [ed.|comp.], Title, Place, Publisher, year, description, price, review [and review [and …]], comments

AJB_ID   volume.section[(subsection)].entry, for example 68.144(1).25 would be volume 68, section 144, subsection 1, and entry number 25.

Commas are field separators for automatic parsing.  Use the word ‘comma’ if you want the character in field string. We will use global search and replace after parsing into fields.

Save as Unicode UTF-8 text encoding. Skip subsection 34 and 35 in Part 4

For volume AJB 59 Index to the Literature of 1959, started 3 Nov 2012, finished 22 Nov 2012, proofread 26 Dec 2012, BookEntry 2 Mar 2013


1 59.145(1).22 E. Hubble, The Realm of the Nebulae, , , , , , La Nature 88 230 and Phys. Blätter 16 88 and Publ ASP 71 553, reference AJB 58.124.16;

2 59.145(1).40 H. Shapley, The Inner Metagalaxy, , , , , , Nature 186 109, reference AJB 57.123.21;

3 59.133(0).25 S. B. Pickelner, Physik des interstellaren Mediums, Moskau, Verlag Akad. Wiss. UdSSR, 1959, 216 pp, 3R. 40 Kop., , in Russian;

4 59.121(0).15 H.Schneller, Die Geschichte und Literatur (GuL) des Lichtwechsels der Veränderlichen Sterne Band IV, , , , , , BAV Rundbrief 8 11, reference AJB 57.110.10;

5 59.121(0).18 , Rocznik Astronomiczny Obserwatorium Krakowskiego 1960 Supplemento Internationale Nr. 31, Kraków, , 1960, 179 pp, 90 zł, , 

6 59.121(0).19 , English version of the remarks to the second edition of the General Catalogue of Variable Stars, , , 1959, 74 pp, , , other edited by IAU; 

7 59.111(0).09 Z. Kopal, Close Binary Systems, London, Chapman & Hall Ltd., 1959, 14+558 pp, $16.75, Proc. Phys. Soc. 75 942 and Publ ASP 71 552 and RH 40 199 and Sky Tel. 18 699 and Sky Tel. 19 303, also published New York: John Wiley & Sons;

8 59.93(0).40 A. C. B. Lovell, Meteor Astronomy, Moskau, Phys.-Math. Staatsverlag, 1958, , 17R. 80 Kop., , reprint of AJB 54.82.38;in Russian;

9 59.93(0).57 E. J. Öpik, Physics of Meteor Flight in the Atmosphere, , , , , , BAC 11 166, reference AJB 58.82.54;

10 59.94(0).07 J. D. Buddhue, The Oxydation and Weathering of Meteorites, , , , , , Meteoritika Nr. 17 133, reference AJB 57.83.04;

11 59.94(0).31 H. H. Nininger, Out of the Sky: An Introduction to Meteoritics, New York, Dover Publications Inc., 1959, 8+336 pp, $1.85, Phys. Blätter 16 88 and Publ ASP 72 220 and ZfA 49 70, 

12 59.82(1).04 W. Sandner, Die Welt des Merkur, Murnau-München-Innsbruck-Basel, Verlag Sebastian Lux, 1959, 66 pp, , El Universo 14 160 and Gaz astr 41 52 and Mitt. Planetenbeobachter 12 46 and Orion Schaffhausen 5 867 and Sterne 36 47 and Sternenbote 2 135 and VdS Nachr. 8 98 and Veröff. Urania-Sternw. Wien Nr. 2 56, 

13 59.82(2).15 P. Moore, The Planet Venus, London, Faber & Faber Ltd., 1959, 151 pp, 18s and $3.75, PAT 41 90 and Sky Tel. 19 370, also published New York: Macmillan Co.;

14 59.83(0).01 R. de Azevedo, Selene, Säo Paulo, Edicoes Pincar Ltda., 1959, 144 pp, 150 cruzeiros, Sky Tel. 19 306, 

15 59.83(0).03 N. P. Barabaschow, Der Mond, Moskau, <<Sowjetrußland>>, 1958, 68 pp, 1R. 20 Kop, , in Russian;

16 59.83(0).08 V. A. Firsoff, Strange World of the Moon: An Enquiry into Lunar Physics, London, Hutchinson and Co. Ltd., 1959, 10+226 pp, 25s, JBAA 70 240 and Nature 185 718 and Sky Tel. 19 372, 

17 59.83(0).18 J. Klepešta and L. Lukeš, Mondkarten, Prag, Institut für Kartographie und Reproduktion, 1959, , DM 5.50, Sterne 36 175 and VdS Nachr.  9 18, translated  by A. Rais;

18 59.83(0).28 W. A. Schischakow, Vyprávění o Měsící, Prag, Verlag Práce, 1959, 61 pp, 1.85 Kčs, RH 40 142, translated from Russian by W. Špinka;

19 59.83(0).32 N. N. Sytinskaja, Die Natur des Mondes, Moskau, Phys.-Math. Staatsverlag, 1959, 176 pp, 4R. 25 Kop, Priroda 49 Nr. 2 118, in Russian;

20 59.83(0).40 H. P. Wilkins, Moon Maps, New York, Macmillan, 1959, 38 pp and 27 charts, $6.00, Sky Tel. 20 163, 

21 59.84(0).21 D. L. Cyr, Mars Revisited, Philadelphia, Dorrance & Co. Inc., 1959, , $3.00, Strolling Astronomer 13 152, 

