Entry format

Num AJB_ID Author [and author [and…]] [ed.|comp.], Title, Place, Publisher, year, description, price, review [and review [and …]], comments
15 64.81(0).07 S. H. Dole and I. Asimov, Planets for Man, New York, Random House Inc., 1964, 10+242 pp, $4.95, Publ. ASP 76 364 and Strolling Astro.  18 157, 

16 64.81(0).10 V. A. Firsoff, Exploring the Planets, London, Sidgwick and Jackson Ltd., 1964, 312 pp, 30s, Obs 85 129 and Sky Tel. 29 173 and Spaceflight 7 65, 

17 64.81(0).25 J. Lequeux, Planètes et Satellites, Paris, Presses Universitaires, 1964, 115 pp, f2.50, Ann d’Astrophys 28 457 and Ann d’Astrophys 28 753 and BSAF 79 107, 

18 64.81(0).39 W. W. Scharonow, The Nature of the Planets, Jerusalem, Israel Program for Scientific Translations Ltd., 1964, 418 pp, $4.25, Sky Tel. 29 172, 

19 64.81(0).42 E. C. Slipher, A Photographic Study of the Brighter Planets, Flagstaff AZ, Lowell Obs., 1964, 16+125 pp, $10.00, Ciel et Terre 81 45 and Publ. ASP 77 64 and Sky Tel. 28 300 and Sky Tel. 29 373 and Strolling Astr. 18 119, also published Washington DC: National Geographic Society;

20 64.81(0).43 A. G. Smith and T. D. Carr, Radio Exploration of the Planetary System, London-Princeton, Van Nostrand Co. Inc., 1964, 148 pp, $1.50, IEEE Spectrum 1 Nr. 10 170 and Phys. Today 17 Nr. 7 49 and Planet. Space Sci. 12 904 and Sky Tel. 27 240 and Sky Tel. 28 361, 

21 64.81(0).50 W. G. Tejfel, Planeten-Riesen, Moskau, <<Nauka>>, 1964, 86 pp, 13 Kop., , 

22 64.81(0).57 F. L. Whipple, Earth comma Moon comma and Planets, Oxford, The University Press, 1964, 8+278 pp, 52s, Obs 84 162, 2nd edition;

23 64.83(0).02 D. Alter, Pictorial Guide to the Moon, London, Arthur Barker Ltd., 1964, 183 pp, 45s, Obs 85 50 and Spaceflight 7 66, 

24 64.83(0).18 F. M. Branley, Exploration of the Moon, New York, Doubleday, 1964, 139 pp, $3.50, Sky Tel. 27 113, 

25 64.83(0).24 V. de Callataӱ, Atlas of the Moon, London, MacMillan & Co. Ltd., 1964, 160 pp, 70s and $15.00, J. Astronaut. Sci. 12 62 and Nature 206 75 and Obs 84 277 and Science 147 1027 and Sky Tel. 28 300 and Spaceflight 7 141, translated from French by R. G. Lascelles;also published New York: St. Martin’s Press;

26 64.83(0).47 V. A. Firsoff, The Moon, London, Arthur Barker Ltd., 1964, 128 pp, 15s, Spaceflight 7 180, 

27 64.83(0).85 A. A. Jakowkin and I. M Demenko and L. N. Mis, Formeln und Ephemeriden für Feldbeobachtungen auf dem Mond, Kiew, <<Naukowa Dumka>>, 1964, 148 pp, 47 Kop., , 

28 64.83(0).95 Z. Kopal, The Moon: Our Nearest Celestial Neighbor, New York, Academic Press Inc., 1964, 152 pp, $5.50, Sky Tel. 28 231, 2nd edition;

29 64.83(0).96 Z. Kopal, Der Mond – unser nächster Himmelsnachbar, Moskau, Verlag für ausländische Literatur, , 138 pp, 29 Kop., Priroda 54 Nr. 7 108, other see also AJB 64.83.95; 

30 64.83(0).206 J. W. Salisbury and P. E. Glaser ed., The Lunar Surface Layer, New York-London, Academic Press Inc., 1964, 26+532 pp, 86s and $12.00, Nature 204 974 and Sky Tel.  28 301, 

31 64.83(0).207 , Fauth Mondatlas, Bremen, , 1964, 38 pp and 28 charts, DM64.00, BSAF 79 286 and Orion Schaffhausen 10 95 and Sterne 41 127 and Stenenbote 7 175 and Strolling Astr. 18 237 and VdS Nachr. 14 14 and Weltraumfahrt 16 63, other edited by Oblers-Gesellschaft; 

32 64.83(0).208 , Pergamon Moon Globe, Oxford, Pergamon Press Ltd., 1964, , £10, Nature 203 1230 and Planet. Space Sci. 12 1141 and Spaceflight 6 212, 

33 64.83(0).209 , Ranger VII Photographs of the Moon: Part 1: Camera A Series, Washington D.C., NASA, 1964, 27 pp and 199 plates, $6.50, Sky Tel. 29 109, 

34 64.83(0).210 , Lunar Charts Taken from Photographs of Recent Ranger VII Mission, Washington D.C., Superintendent of Documents, 1964, 5 charts, $3.00, Sky Tel. 29 230, 

35 64.84(0).19 F. Jackson and P. Moore, Life on Mars, London, Routledge & Kegan Paul Ltd., , 111 pp, 18s, JBAA 75 208, 

36 64.85(0).02 D. M. Cole and D. W. Cox, Islands in Space: The Challenge of the Planetoids, Philadelphia, Chilton Company, 1964, 12+276 pp, $6.95, Science 147 1132, 

37 64.71(0).04 D. R. Bates, The Planet Earth, New York, Pergamon Press Inc., 1964, 370 pp, 42s, Ann d’Astrophys 27 761 and Ann. Géophys. 20 515 and Nature 205 735, 2nd edition;

38 64.71(0).14 G. Gamow, Planeten Jorden, Stockholm, Albert Bonniers Förlag AG., 1964, 203 pp, Kr. 46, PAT 45 164, 

39 64.71(0).18 J. A. Jacobs, The Earth’s Core and Geomagnetism, Oxford, Pergamon Press Ltd., 1963, 137 pp, 17s 6d, J ATP 26 943, 

40 64.71(0).53 A. N. Strahler, The Earth Sciences, New York-Evanston, Harper and Row, 1963, 12+671 pp, 75s, Nature 205 735, also published London: Harper & Row;

41 64.71(0).63 L. H. Ahrens and F. Press and S. K. Runicorn eds., Physics and Chemistry of the Earth Vol. 5, Oxford, Pergamon Press Lrd., 1964, 398 pp, £5, Geochim. Cosmochim. Acta 29 1017, 

42 64.71(0).64 T. W. Donnelly ed., The Earth Sciences, London-New York, University of Chicago Press, 1963, 7+195 pp, $6.00 and 45s, Nature 206 76, 

43 64.71(0).65 H. E. Landsberg and J. van Miegham ed., Advances in Geophysics Vol. 10, New York, Academic Press Inc., 1964, 488 pp, $16.50, Sky Tel.  29 240, 

44 64.71(0).66 , Die Erde im Weltall, , Verlag <<Mysl>>, 1964, 492 pp, 1R. 79 Kop., Priroda 54 Nr. 9 114, 

45 64.72(0).01 L. Auberger, Atmosphère et Météores, Paris, Fayard, 1964, 149 pp, , BSAF 79 152, 

46 64.72(0).28 B. A. Mirtow, Gaseous Composition of the Atmosphere, Jerusalem, Israel Program for Scientific Translations, 1964, 209pp, $6.00, Sky Tel. 29 316, 

47 64.74(0).47 R. M .Goody, Atmospheric Radiation I. Theoretical Basis, London, Oxford University Press, 1964, 11+436 pp, 75s and $8.00, Ann d’Astrophys 27 761 and Geophys. J. RAS 9 284 and J. Optical Soc. America 54 1383 and Planet. Space Sci. 13 268 and Proc. Phys. Soc. 84 1027 and Sci. American 213 Nr. 2 117 and ZfA 61 165, also published Oxford: Clarendon Press;

48 64.76(0).21 J. W. Chamberlain, Motion of Charged Particles in the Earth’s Magnetic Field, New York, Gordon & Breach, 1964, 10+33 pp, $1.95 and $3.95, Phys. Today 18 Nr. 7 70 and Proc. Phys. Soc. 86 415 and Science 147 1567, 

49 64.76(0).22 S. Chapman, Solar Plasma comma Geomagnetism and Aurora, New York, Gordon & Breach, 1964, 141 pp, $4.95 and $1.95, Nature 206 124 and Nature 207 116 and Proc. Phys. Soc. 86 222, also published London: Blackie & Sons Ltd.;

50 64.61(3).24 M. Chȩcińska, Energia Słońca, Warszawa, Wiedza Powszechna, 1964, 222 pp, zł 13, , other Populäres Buch über die Sonnenenergie (popular book on solar energy); 

51 64.61(3).26 G. Gamow, A Star Called the Sun, New York, Viking Press Inc., 1964, 14+208 pp, $5.75, Nature 207 793 and Sci. American 211 Nr. 5 152 and Science 145 476 and Sky Tel. 28 36 and Sky Tel. 28 286, 

52 64.61(3).28 G. A. Gochwat, Die Sonne arbeitet, Kiew, Techn. Verlag Ukrain. SSR, 1962, 65 pp, 11 Kop., , 

53 64.61(3).32 D. H. Menzel, Unsere Sonne, Moskau, Phys-Math. Staatsverlag, 1963, 327 pp, 79 Kop., AJ UdSSR 41 190, reprint of AJB 69.61.06;translated  by E. W. Kononowitsch;in Russian;

54 64.65(0).04 R. J. Bray and R. E. Longhhead, Sunspots, London, Chapman and Hall Ltd., 1964, 16+303 pp, £4 4s and $13.75, BSAF 79 153 and Ciel et Terre 81 192 and Nature 206 1185 and Phys. Abstr. 68 715 and Phys. Today 18 Nr. 7 68 and Planet. Space Sci. 13 869 and Science 149 46 and Sky Tel. 30 39, also published New York: John Wiley & Sons Ltd.;

55 64.65(0).48 B. M. Rubaschew, Probleme der Sonnenactivität, Moskau-Leningrad, <<Nauka>>, 1964, 362 pp, 1R. 69 Kop., AJ UdSSR 42 214, 

56 64.51(0).05 G. Burbidge, Nukleare Astrophysik, Moskau, Verlag <<Mir>>, 1964, 128 pp, 44 Kop., AJ UdSSR 42 869, translated from English by G. S. Chromow;in Russian;

57 64.51(0).11 J. Dufay, Introduction to Astrophysics: The Stars, New York, Dover Publications Inc., 1964, 164 pp, $2.00, Sky Tel. 28 300 and Sky Tel. 29 168, translated from French by O. Gingerich;in English;

58 64.51(0).18 S. Haykawa and H.-Y. Chiu and G. Feinberg and M. Dresden, Lectures on Astrophysics and Weak Interactions, Waltham MA, Brandeis University, 1963, 471 pp, $4.00, , 

59 64.51(0).42 K. W. Ford ed., Astrophysics and the Many-Body Problem, New York, W. A. Benjamin Inc., 1963, 438 pp, $9.00 and $5.95, , 

60 64.51(0).43 , Untersuchungen zur Physik der Sterne und der diffusen Materie, Kiew, <<Naukowa Dumka>>, 1964, 76 pp, 32 Kop., , other edited under Atsr. Hauptobs. Akad. Wiss. Ukrain. SSR.; 

61 64.51(2).61 T. Cowling, Magnetohydrodynamik, Moskau, <<Mir>>, 1964, 80 pp, 27 Kop., , translated from English;in Russian;

62 64.51(3).95 V. Kourganoff and I. W. Busbridge, Basic Methods in Transfer Problems, New York, Dover Publications Inc., 1963, 15+281 pp, $2.00, , reprint of AJB 52.51.20;other revised edition; 

63 64.54(1).64 S. Rosseland, The Pulsation Theory of Variable Stars, New York, Dover Publications Inc., 1964, 8+152 pp, $1.65, Sky Tel. 28 300 and Sterne 41 87 and ZfA 61 168, reprint of AJB 49.111.69;

64 64.56(0).08 B. J. Lewin, Die Entstehung der Erde und der Planten, Moskau, <<Nauka>>, 1964, 116 pp, 18 Kop., AJ UdSSR 42 869 and Priroda 53 Nr. 11 66, 4th edition;

65 64.41(0).12 D. Brouwer and G. M. Clemence, Die Methoden der Himmelsmechanik, Moskau, <<Mir>>, 1964, 514 pp, 2R. 52 Kop., , reprint of AJB 62.41.10;translated from English;in Russian;

66 64.41(0).13 E. W. Brown and C. A. Shook, Planetary Theory, New York, Dover Publications Inc., 1964, 12+302 pp, $2.25, Ann d’Astrophys 28 457 and BSAF 79 155 and Coelum 33 62 and Sky Tel. 28 301 and Sterne 41 87 and ZfA 61 167, reprint of AJB 35.32.41;

67 64.41(0).29 G. N. Duboschin, Himmelsmechanik: Analytische und qualitative Methoden, Moskau, Verlag <<Nauka>>, 1964, 560 pp, 95 Kop., , 

68 64.41(0).36 P. van de Kamp, Elements of Astromechanics, San Francisco, Freeman Co., 1964, 140 pp, $4.00 and $2.00, Phys. Today 17 Nr. 10 60 and Science 149 623 and Sky Tel. 27 306, 

69 64.42(0).06 J. C. Watson, Theoretical Astronomy Relating to the Motions of the Heavenly Bodies, New York, Dover Publications Inc., 1964, 8+662 pp, $3.25, Coelum 33 126 and Sky Tel. 29 174 and ZfA 62 155, 

70 64.44(0).04 H. Arzelliés, Relativité Généralisée Gravitation, Paris, Gauthier-Villars & Cie., 1963, 274 pp, F76 and $16.00, Phys. Blätter 21 234, 

71 64.44(0).07 H. Bondi, Relativity and Common Sense, New York, Doubleday & Co. Inc., 1964, 177 pp, $1.25, Sky Tel. 28 374 and Sky Tel. 29 234, 

72 64.44(0).08 W. B. Bonner, The Mystery of the Expanding Universe, New York, The Macmillan Co., 1964, 12+212 pp, $7.50, Science 144 699 and Sky Tel. 27 306 and Sky Tel. 28 89, 

73 64.44(0).10 M. Born, Die Einsteinsche Relativitätstheorie, , Verlag <<Mir>>, 1964, 452 pp, 1R. 67 Kop., Priroda 54 Nr. 1 122, 

74 64.44(0).22 R. H. Dicke, The Theoretical Significance of Experimental Relativity, New York, Gordon & Breach, 1964, 12+153 pp, $1.95 and $4.95, Phys. Today 18 Nr. 7 60 and Proc. Phys. Soc. 86 415, 

75 64.44(0).31 V. Fock, The Theory of Space comma Time and Gravitation, New York, Macmillan Company, 1964, 12+448 pp, $15.00, Math. Rev. 28 1110 and Nature 205 735 and Phys. Ber. 43 3313 and Proc. Phys. Soc. 84 1028 and Sky Tel. 27 365, translated from Russian by N. Kemmer;

76 64.44(0).52 V. Kourganoff, Initiation à la Théorie de la Relativité, Paris, Presses Universitaires de France, 1964, 182 pp, NF12, Ann d’Astrophys 28 575 and Sky Tel. 29 172, 

77 64.44(0).59 S. M Meljuchin, Über Unendlichkeit und Endlichkeit des Weltalls, Moskau, <<Snanije>>, 1964, 48 pp, 9 Kop., , 

78 64.44(0).67 R. Nevanlinna, Raum comma Zeit und Relativität, Basel-Stuttgart, Birkhäuser-Verlag, 1964, 229 pp, DM 23.00, VdS Narchr. 14 74, 

79 64.44(0).93 D. Sciama, Världsalltet som enhet, Stockholm, Albert Bonniers Förlag AB, 1964, 190 pp, Kr. 9:50, PAT 45 164, 

80 64.44(0).104 M.-A. Tonnelat, Les Vérifications Expérimetales de la Relativité Générale, Paris, Mason et Cie, 1964, 14+307 pp, F84, Phys. Abstr. 68 725 and Phys. Today 18 Nr. 8 49, 

81 64.44(0).109 H.-Y. Chiu and W. F. Hoffmann ed., Gravitation and Relativity, New York-Amsterdam, W. A. Benjamin Inc., 1964, 35+353 pp, $15.75, AJ 69 220 and Ann d’Astrophys 27 247 and Endeavour 24 56 and Math. Rev. 28 190 and Nature 205 735 and Obs 85 49 and Phys. Abstr. 67 709 and Proc. Phys. Soc. 84 318 and Science 144 700 and Sky Tel. 27 305 and ZfA 61 95, 

82 64.44(0).110 H. Messel and S. T. Butler ed., The Universe and its Origin, New York, St. Martin’s Press, 1964, 147 pp, $3.75, Phys. Today 17 Nr. 10 60 and Science 145 1288 and Sky Tel. 29 378, 

83 64.31(0).14 H. Spencer Jones, General Astronomy, New York, St. Martin’s Press, 1964, 470 pp, $12.00, Sky Tel. 29 316, 4th edition;

84 64.31(0).30 B. Tuckerman, Planetary comma Lunar comma and Solar Positions A.D. 2 to A.D. 1649 at Five-Day and Ten-Day Intervals, Philadelphia, American Philosophical Society, 1964, 7+842 pp, $7.50, Ciel et Terre 80 467 and IEEE Spectrum 1 Nr. 3 267 and Nature 202 943 and Phys. Today 17 Nr. 6 72 and Sky Tel. 27 240 and Z. Deutsche Morgenländ. Ges. 113 628, 

85 64.31(0).34 , Fragen der Astrometrie, Kiew, <<Naukowa Dumka>>, 1964, 96 pp, 38 Kop., , other edited under Astr. Hauptobs. Akad. Wiss. Ukrain. SSR; 

86 64.32(1).04 B. Boss, General Catalogue of 33342 Stars for Epoch 1950 Vols 1—5, New York, Johnson Reprint Corporation, 1963, 339 and 313 and 360 and 331 and 357 pp, $125.00, , reprint of AJB 39.71.12;

87 64.32(1).09 D. Hoffleit, Catalogue of Bright Stars, New Haven CT, Yale University Observatory, 1964, 415 pp, $15.00, Ciel et Terre 81 192 and Sky Tel. 29 174, 3rd edition;

88 64.32(1).25 , Index der Sternörter 1925—1960 Index II Band III CoD -22˚ bis CoD -40˚, Berlin, Akademie-Verlag, 1964, 28+295 pp, DM45.00, , other edited under Deutshen Akademie der Wissenshften zu Berlin reviewed by A. Kahrstedt; 

89 64.32(1).26 , Index der Sternörter 1925—1960 Index II Band VII BD +21˚ bis BD +30˚, Berlin, Akademie-Verlag, 1964, 28+260 pp, DM45.00, , other edited under Deutshen Akademie der Wissenshften zu Berlin reviewed by A. Kahrstedt; 

90 64.32(2).33 A. Bečvář, Atlas of the Heavens—II Catalogue 1950.0, Cambridge MA, Sky Publishing Corp., 1964, 369 pp, $8.75, Sky Tel. 27 306, 4th edition;

91 64.32(2).34 A. Bečvář, Atlas Australis 1950.0, Prague, Nakladatelstvi Československé Akademie Věd, 1964, 1pp 24 charts, Kčs 78, RH 45 222, 

92 64.32(2).36 I. M. Levitt and R. K. Marshall, Star Maps for Beginners, New York, Simon & Schuster, 1964, 47 pp, $3.95 and $1.95, Sky Tel. 28 36, 

93 64.32(2).37 A. P. Norton and J.G. Inglis, A Star Atlas and Reference Handbook, Cambridge MA, Sky Publishing Corp., 1964, 114 pp, $6.50, Sky Tel. 29 107, 15th edition;

94 64.32(2).38 J. D. W. Staal, Vára Stjärnbilder, Malmö, Berghs Fölag, 1964, 208 pp, 26:75, , 

95 64.32(2).39 H. Vehrenberg, Photographischer Stern-Atlas Südhimmel zwischen -14˚ Deklination und Südpol, Düsseldorf, Treugesell-Verlag, 1964, 16 pp 161 star charts 12 special charts, DM42.00 and DM65.00, Orion Schaffhausen 10 149 and Sternebote 8 47 and VdS Nachr. 14 17, other price list for distribution A and distribution B?; 

96 64.32(2).40 H. Vehrenberg, Photographic Star Atlas; Part III Southern Sky, Cambridge MA, Sky Publishing Corp., 1964, 16 pp 173 charts, $17.00, Sky Tel. 29 168, 

97 64.33(0).08 K. A. Kulikow, Fundamental Constants of Astronomy, London, Oldbourne Press, 1964, 9+211 pp, 96s, BSAF 79 154 and Mem SA It (NS) 35 401 and Nature 206 973, also published Jerusalem: Israel Program for Scientific Translations;

98 64.35(0).11 W. W. Zybulskij, Die heutigen Kalender der Länder des Nahen und Mittleren Ostens Vergleichende Kalendertafeln und Erklärungen, Moskau, <Nauka>>, 1964, 236 pp, 60 Kop., RJ UdSSR 1965 2.51.9, 

99 64.36(0).12 W. F. Djakonow, Nautische Astronomie, Leningrad, <<Hochseetransport>>, 1963, 587 pp, 1R. 60 Kop., 2nd revised edition:, 

100 64.36(0).15 G. A. Golubew and W. F. Djakonow and B. I. Krassawzew, Aufgabensammlung zur nautischen Astronomie, Moskau, <<Hochseetransport>>, 1963, 287 pp, 1R. 34 Kop., , 

101 64.36(0).19 F. R. Helmert, Die mathmatischen und physicalischen Theorien der höheren Geodäsie Teil I und II, Leipzig, B. G. Teubner Verlags-gesellschaft, 1963, 16+631 and 15+610 pp, DM 42.50, Gerlands Beiträge Geophys. 73 253, 2nd edition;other don’t know if price is each or both Pries je DM 42.50; 

102 64.36(0).38 D. A. Moore, Basic Principles of Marine Navigation, London, Kandy Publications, 1964, 128 pp, 10s, J. Inst. Navigation 18 386, 

103 64.36(0).49 N. J. Rybaltowskij, Praktische nautische Astronomie, Moskau—Leningrad, <<Transport>>, 1964, 125 pp, 37 Kop., , 

104 64.36(0).62 L. W. Woronow, Die Bestimmung astronomischer Asimute, Moskau, Militär-Verlag, 1964, 112 pp, 20 Kop., , 

105 64.37(0).36 W. N. Sharkow ed., Eigenschwingungen der Erde, Moskau, <<Mir>>, 1964, 315 pp, 1R. 4 Kop., , translated from English;

106 64.37(0).37 , Arbeitsephemeride für die Talcottsche Methode für Breiten von +35˚ bis +65˚ Epoche 1980.0, Moskau, <<Nedra>>, 1964, 310 pp, 4R., , 

107 64.38(0).12 W. H. Munk and G. MacDonald, Die Rotation der Erde, Moskau, Verlag <<Mir>>, 1964, 381 pp, 1R. 47 Kop., AJ UdSSR 42 869, reprint of AJB 60.38.18;translated from English by W. W. Nesterow;edited by P. N. Uspenskij;

108 64.21(0).07 R. Brandt, Das Fernrohr des Sternfreundes, Stuttgart, Fanckh’sche Verlagshandlung W. Keller & Co., 1964, 78 pp, DM 6.80, SuW 3 266, 2nd edition;

109 64.21(0).38 A. S. Korowkin, Infrarottechnik und Kosmos, Moskau, <<Snanijes>>, 1964, 40 pp, 7 Kop., , 

110 64.21(0).39 A. Kutter, Bau-Anleitung für den Kosmos-Schiefspiegler, Stuttgart, Franckh’sche Verlagshandlung, 1964, 43 pp, DM 12.80, Sky Tel. 29 239 and SuW 4 155, 

111 64.21(0).45 E. H. Linfoot, Fourier Methods in Optical Image Evaluation, London-New York, Focal Press Ltd., 1964, 90 pp, 50s, Nature 207 449 and Proc. Phys. Soc. 86 667, 

112 64.21(0).57 H. E. Paul, Binoculars and All-Purpose Telescopes, New York, Amphoto, 1964, 128 pp, $2.50, Sky Tel. 29 42 and Sky Tel. 29 170, 

113 64.21(0).68 B. Valniček, Moderní technika v astronomii, Prag., Verlag Akad. Wiss., 1964, 280 pp, Kčs 16.50, Kosmické rozhledy 2 Nr. 2-3 18 and RH 45 142 and Vesmír 43 185, 

114 64.21(0).75 S. Brown ed., Homebuilt Telescopes, , Edmund Scientific Co., 1964, 32 pp, $0.75, Sky Tel. 29 109, 

115 64.21(0).76 P. Moore ed., A Handbook of Practical Amateur Astronomy, New York, W. W. Norton & Co., 1964, 254 pp, $5.95, Strolling Astr. 18 80, 

116 64.22(1).29 H. Rohr, Das Fernrohr für jedermann, Zürich-Stuttgart, Rascher & Cie. AG, 1964, 211 pp, DM 13.50, Orion Schaffhausen 9 286 and Orion Schaffhausen 10 51 and PAT 46 77 and Phys. Blätter 21 292 and Sky Tel. 29 107 and Sternenbote 8 23 and VdS Nachr. 13 161, 4th edition;

117 64.22(1).33 J. Scherman and H. A. Viola, Construcción de Telescopios, , , 1960, 103 pp, , Rev. Astr. 35 29, other edited by Asociación Amigos de la Astronomia; 

118 64.23(4).80 F. Daniels, Direct Use of the Sun’s Energy, New Haven CT, Yale University Press, 1964, 18+374 pp, $2.45 and $7.50, Phys. Today 18 Nr. 8 52 and Sci. American 213 Nr. 1 120 and Science 148 790, 

119 64.23(4).87 H. Rau, Solar Energy, New York, Macmillan Company, 1964, 171 pp, $6.00, Phys. Today 18 Nr. 7 65 and Sky Tel. 28 231 and Sky Tel. 29 39, translated from German by M. Schur;

120 64.24(0).02 E. von Bassermann-Jordan, The Book of Old Clocks and Watches, New York, Crown Publishers Inc., 1964, , $20.00, , 4th edition;edited by H. von Bertele;

121 64.25(0).12 S. Fujinami, Celestial Photography for Amateur Hand Cameras, Tokyo, Kyoritsu Shuppan Co., 1964, 163 pp, 650 Yen, Sky Tel. 29 42, 

122 64.25(0).23 J. Texareau and G. de Vaucouleurs, Astrofotografie für Jedermann, Stuttgart, Franckh’sche Verlagshandlung, 1964, 94 pp, DM 12.80, Orion Schaffhausen 9 232 and PAT 45 163 and Sky Tel. 28 38 and Sterne 40 256 and Sternenbote 7 105 and SuW 4 90 and VdS Nachr. 13 92, translated from French by M. Gerstenberger;in German;

123 64.11(0).01 G. Abell, Exploration of the Universe, New York, Holt & Co. Inc., 1964, 8+646 pp, $9.50, Publ. ASP 76 266 and Sky Tel. 27 305 and Sky Tel. 29 233, also published New York: Rinehart & Co. Inc. and Philadelphia: Winston Co.;

124 64.11(0).02 A. T. Adams, Astronomy for the Layman, New York, Vantage Press, 1964, 217 pp, $3.95, Sky Tel. 29 108, 

125 64.11(0).03 D. Alter and C. H. Cleminshaw and J. G. Phillips, Pictorial Astronomy, London, Museum Press Ltd., 1964, 312 pp, 42s, J. Astro. Soc. Victoria 17 70 and Nature 204 1019, 

126 64.11(0).04 C. N. Anderson, The Solar System and the Constellations, New York, Vantage Press, 1964, 269 pp and 10 charts, $8.50, Sky Tel. 30 39 and Sky Tel. 30 168, 

127 64.11(0).05 I. Asimov, Adding a Dimension, New York, Doubleday & Co. Inc., 1964, 202 pp, $3.95, Sky Tel. 28 93, 

