Entry format

Num AJB_ID Author [and author [and…]] [ed.|comp.], Title, Place, Publisher, year, description, price, review [and review [and …]], comments

AJB_ID   volume.section[(subsection)].entry for example 68.144(1).25 would be volume 68, section 144, subsection 1, and entry number 25.

Commas are field separators for automatic parsing.  Use the word ‘comma’ if you want the character in field string. We will use global search and replace after parsing into fields.

Save as Unicode UTF-8 text encoding. Skip subsection 34 and 35 in Part 4


For volume AJB 64 Index to the Literature of 1964, finished 18 June 2011


1 64.145(1).55 G. de Vaucouleurs and A. de Vaucouleurs, Reference Catalog of Bright Galaxies, Austin, The University of Texas Press, 1964, 4+268 pp, $12.50, Ann d’Astrophyss 28 576 and AJ UdSSR 42 865 and Science 147 1568 and Sky Tel. 29 172 and Sky Tel 30 32 and ZfA 62 154, other also published as Univ. of Texas Monographs Astr. Nr. 1; 

2 64.145(1).61 B. A. Woronzow-Weljaninow, Die Ungebudenheit der Galaxien, Moskau, <<Snanije>>, 1963, 48 pp, 9 Kop., , 

3 64.145(1).62 B. A. Woronzow-Weljaninow and W. P. Archipowa, Morphologischer Katalog von Galaxien Teil II Katalog von 9650 Galaxien zwischen +45° und +15° Deklination, Moskau, Verlag Univ. Moskau, 1964, 288 pp, 2 R. 65 Kop., RJ UdSSR 1965 4.51.257, 

4 64.131(0).01 G. Abetti and M. Hack, Nebulae and Galaxies, London, Faber & Faber Ltd., 1964, 264 pp, 63 s, Endeavour 24 111 and HeD 62 258 and Irish AJ 7 29 and Orion Schaffhausen 9 168 and Sky Tel. 30 169 and Southern Stars 20 183 and Sterne 41 45, translated from Italian by V. Barocas;

5 64.135(0).36 W. L. Ginsburg and S. I. Syrowatskij, The Origin of Cosmic Rays, Oxford-London, Pergamon Press, 1964, 18+426 pp, £5 5s, Ann d’Astrophys 28 458 and BSAF 79 154 and Phys. Abstr. 68 2010 and Planet. Space Sci. 13 362 and Proc. Phys. Soc. 86 229 and Spaceflight 7 69 and ZfA 61 171, translated from Russian by H.S. H. Massey;edited by D. ter Haar;

6 64.135(0).44 V. D. Hopper, Cosmic Radiation and High Energy Interactions, London-New York, Academic Press, 1964, 10+234 pp, 57s 6d and $17.35, Ann d’Astrophys 28 459, also published Somewhere: Logos Press;

7 64.135(0).71 B. Rossi, Cosmic Rays, New York-San Francisco-Toronto-London, McGraw-Hill Book Company, 1964, 12+268 pp, $5.95 and $2.95, Sci. American 212 Nr. 3 134, 

8 64.126(1).10 C. Payne-Gaposchkin, The Galactic Novae, New York, Dover Publications Inc., 1964, 10+336 pp, $2.45, Sky Tel. 28 301 and Sterne 41 88 and ZfA 61 167, reprint of AJB 57.113.06;

9 64.111(0).02 R. G. Aitken, The Binary Stars, New York, Dover Publications Inc., 1964, 10+309 pp, $2.00, BSAF 79 153 and Coelum 33 62 and Sky Tel. 27 366 and Sterne 41 87 and ZfA 61 167, reprint of 1935;other reprint of the 2nd Edition; 

10 64.91(0).50 S. K. Wsechswjatskij, Physical Characteristics of Comets, Jerusalem, Israel Program for Scientific Translation, 1964, 596 pp, $6.00, BSAF 79 194 and Ciel et Terre 81 191 and Sky Tel. 29 240 and Sky Tel. 30 34, reprint of AJB 58.80.33;translated from Russian;

11 64.93(0).35 G. S. Hawkins, The Physics and Astronomy of Meteors comma Comets comma and Meteorites, New York, McGraw-Hill Book Company, 1964, 10+134 pp, $2.50, Ann d’Astrophys 28 749 and Science 147 1136 and Sky Tel. 29 108 and Sky Tel. 30 37, 

12 64.93(0).63 D. McKinley, Methoden der Meteorastronomie, Moskau, <<Mir>>, 1964, 383 pp, 1R. 79 Kop., AJ UdSSR 42 869 and RJ UdSSR 1965 4.51.444, reprint of AJB 61.93.57;translated from English;in Russian;

13 64.94(0).46 F. Heide, Meteorites, Chicago, University of Chicago Press, 1964, 10+144 pp, $6.50 and $1.95, Ann d’Astrophys  28 457 and BSAF 79 152 and J. Astr. Soc. Victoria 17 101 and NAT 1964 135 and Orion Schaffhausen 10 50 and Science 144 282 and Sky Tel. 27 305 and Sky Tel. 29 37, translated from German by E. Anders and E. R. DuFresne;

14 64.95(0).10 A. Dauvillier, Cosmic Dust, New York, Philosophical Library Inc., 1964, 167 pp, $15.00, Sky Tel. 27 365 and Strolling Astr. 18 79, other first American publication? First published 1961 in France and republished Great Britain in 1963; 

