Entry format

Num AJB_ID Author [and author [and …]] [ed.|comp.], Title, Place, Publisher, year, description, price, review [and review [and …]], comments

AJB_ID   volume.section[(subsection)].entry, for example 68.144(1).25 would be volume 68, section 144, subsection 1, and entry number 25.

Commas are field separators for automatic parsing.  Use the word ‘comma’ if you want the character in field string. We will use global search and replace after parsing into fields.

Save as Unicode UTF-8 text encoding. Skip section 4 in Part 1

For volume AJB 48 Index to the Literature of 1947, started 24 Feb 2015, finished 22 Mar 2015, proofread 12 April 2015


1 48.01(0).02  H. Athen, Ebene und sphärische Trigonometrie, Wolfenbüttel-Hannover, Wolfenbütteler Verlagsanstalt GmbH, 1948, 112 pp, 7.50 DM, Phys Ber 27 540, 

2 48.01(0).06  G. R. Clements and L. T. Wilson, Manual of Mathematics and Mechanics, New York-London, McGraw-Hill Book Co. Inc., 1947, 9+346 pp, $3.25, Nature 161 789, 2nd edition;

3 48.01(0).09  R. D. Douglas and D. P. Adams, Elements of Nomography, New York-London, McGraw-Hill Book Co. Inc., 1947, 9+209 pp, $3.50, Nature 162 278, 

4 48.01(0).10  H. B. Dwight, Tables of Integrals and Other Mathematical Data, New York, The Macmillan Co., 1947, 250 pp, $2.50, J Applied Phys 19 961 and J. Franklin Inst. 245 81, 

5 48.01(0).11  G. Gamov, One comma Two comma Three ... Infinity, , , , , , Sky Tel. 7 72, reference AJB 47.08.09;

6 48.01(0).14  A. Hess, Praktische Mathematik, Zürich, Verlag Rascher, 1947, 116 pp, Fr. 8.90, VJS Naturf. Ges. Zürich 93 294, 

7 48.01(0).15  N. I. Idelson, Die Methode der kleinsten Quadrate und die Theorie der mathematischen Bearbeitung der Beobachtung, Moskau, Verlag der geodätischen und kartographischen Literatur beim Ministerrat der Sowjetunion, 1947, 359 pp, 30R., , in Russian;

8 48.01(0).16  T. Kochmanski, Abriß der Krakovianenrechnung, Warschau, , 1948, 46 pp, , , in Polish;other from the Main Office of the National Survey; 

9 48.01(0).18  A. S. Levens, Nomography, New York, John Wiley & Sons Inc., 1948, 176+8 pp, $3.00, J. Franklin Inst. 245 445 and J Applied Phys 19 961, 

10 48.02(0).01  E. N. da C. Andrade, The Atom and its Energy, London, G. Bell & Sons Ltd., 1947, 12+196 pp, 10s, Nature 161 582 and Proc Phys Soc 61 583, 

11 48.02(0).03  H. Beghin, Cours de mécanique, Paris, Gauthier-Villars, 1948, 9+597 pp, 1800 ffrs., Nature 162 911, 

12 48.02(0).04  H. Bethe, Elementary Nuclear Theory, New York, John Wiley & Sons Inc., 1947, 7+147 pp, $2.50, J Applied Phys 19 966 and Sky Tel. 7 126 and Sky Tel. 7 278, 

13 48.02(0).06  A. G. Gaydon, Dissociation Energies and Spectra of Diatomic Moledules, New York, John Wiley & Sons Inc., 1947, 11+239 pp, $5.00, J Applied Phys 19 966, 

14 48.02(0).12  B. Hoffmann, The Strange Story of the Quantum, New York, Harper & Brothers, 1947, 238 pp, $3.00, Sky Tel. 7 102, 

15 48.02(0).19  E. L. Krinow, Die spektrale Reflexionseigenschaft natürlicher Gebilde, Moskau-Leningrad, Verlag Akad. Wiss. UdSSR, 1947, 272 pp, 19R., Das sowjetische Buch Nr. 8 6, in Russian;

16 48.02(0).21  R. A. Millikan, Electron (+ and -) comma Protons comma Photons comma Neutrons comma Mesotrons comma and Cosmic Rays, London, Cambridge University Press, 1947, 10+642 pp, 30s and $6.00, Proc Phys Soc 61 583 and J Applied Phys 19 966 and Nature 161 789 and Phys. Blätter 1947 95, 2nd edition;also published Chicago: University of Chicago Press;

17 48.02(0).25  C. E. Moore, Atomic Energy Levels as derived from the analysis of optical spectra comma Volume 1 comma Section 1 comma The spectra of Hydrogen comma Deuterium comma Helium comma Lithium comma Beryllium comma Boron comma Carbon comma Nitrogen comma Oxygen comma and Fluorine, Washinton DC, Bureau of Standards, 1948, 75 pp, $0.50, ApJ 108 543 and J. Franklin Inst 246 259 and Nature 162 391 and Pop Astr 57 416, other Circular of the Bureau of Standards 467; 

18 48.02(0).27  R. R. Nimmo, Atomic Energy, London, The Pilot Press Ltd., 1947, 201 pp, 9s 6d, Proc Phys Soc 60 403, 

19 48.02(0).34  L. Rosenfeld, Nuclear Forces, Amsterdam, North-Holland Publishing Co., 1948, 19+181 pp, £1 4s 5d, Nature 162 907, other Monographs on Theoretical and Applied Physics Volume 1; 

