Entry format

Num AJB_ID Author [and author [and …]] [ed.|comp.], Title, Place, Publisher, year, description, price, review [and review [and …]], comments

AJB_ID   volume.section[(subsection)].entry, for example 68.144(1).25 would be volume 68, section 144, subsection 1, and entry number 25.

Commas are field separators for automatic parsing.  Use the word ‘comma’ if you want the character in field string. We will use global search and replace after parsing into fields.

Save as Unicode UTF-8 text encoding. Skip section 4 in Part 1

For volume AJB 54 Index to the Literature of 1954, started 3 Dec 2013, finished 17 Dec 2013, proofread 20 Dec 2013


1 54.02(0).61  W. M. Venable, The sources of the primary lines of hydrogen, Pittsburgh, Markowitz & Hass, 1954, 48 pp, , , 

2 54.03(0).01  W. Flügge, Four-place tables of transcendental functions, London, Pergamon Press, 1954, 136 pp, £1 5s, ZfMG 55 119, 

3 54.03(0).02  F. Lösch, Siebenstellige Tafeln der elementaren tranzendenten Funktionen, Berlin-Göttingen-Heidelberg, Springer-Verlag, 1954, 8+335 pp, DM 49.80, Math. Rev. 16 402 and Mitt. AG 1954 131 and Proc. Phys. Soc. (A) 68 1024 and Proc. Phys. Soc (B) 68 1159 and ZfA 35 276, 

4 54.03(0).03  O. Seeliger, A. L. Crelle's Rechentafeln, Berlin, W. de Gruyter, 1954, 7+508 pp, DM 36.00, ZfMG 56 355, other a reprint; 

5 54.03(0).04  B. Sticker, Fünfstellige Tafel der Trignometrischen Funktionen; Ausgabe A für Altgradteilung, Bonn-Hannover-Stuttgart, Ferd. Dümmlers Verlag, 1954, 52 pp, DM 7.60, Deutsche Hydrographische Z. 7 69 and Mitt. AG 1953 101 and NAT 1954 39 and Österreichische Z. Vermessungswesen 42 61 and Sterne 30 252 and ZfMG 55 119, 

6 54.03(0).05  A. J. Thompson, Logarithmetica Britannica comma being a standard table of logarithms to twenty decimal places of the numbers 10000 to 100000, , Cambridge University Press, 1954, , £8 8s and $28.50, Math. Rev.  16 286, other two volumes; other vol 1 Numbers from 10000 to 50000 together with General Introduction 98+424 pp; other vol 2 Numbers from 50000 to 100000 16+518 pp; 

7 54.03(0).06  G. Vega, Siebenstellige Logarithmen, Moskau, Verlag für geodätische und kartographische Literatur, 1954, 6+565 pp, 31R., Math. Rev. 16 479, in Russian;

8 54.03(0).07  , Tafeln des Integralsinus und Integralcosinus, Moskau, Verlag Akad. Wiss. UdSSR, 1954, 473 pp, 43R. 75 Kop., Math. Rev. 16 523, in Russian;

9 54.03(0).08  , Tables of Functions and Zeros of Functions, Washington DC, Government Printing Office, 1954, 9+211 pp, $3.00, J RAS Canada 49 164 and Phys. Abstracts (A) 58 437, other National Bureau of Standards Applied Mathematics Series Nr. 37; 

10 54.03(0).09  , Tables of secants and cosecants to nine significant figures at hundreths of a degree, Washington DC, Government Printing Office, 1954, 6+46 pp, , ZfMG 55 119, other National Bureau of Standards Applied Mathematics Series Nr. 40; 

11 54.03(0).10  , Tables of the error function and its derivative, Washington DC, Government Printing Office, 1954, 11+302 pp, $3.25, Math. Rev. 16 287 and Phys. Abstracts (A) 58 437, other National Bureau of Standards Applied Mathematics Series Nr. 41; 

12 54.03(1).13  B. N. Delone, A short course in mathematical machines comma I. Small computing machines and mathematical instruments, Moskau-Leningrad, Technish-theoretischer Staatsverlag, 1952, 135 pp, 3R. 60 Kop., Math. Rev. 16 963, in Russian;

13 54.03(1).14  G. A. Korn and T. M. Korn, Electronic analog computers (d-c analog computers), , , , , , Math. Rev. 16 964, reference AJB 52.03.12;

14 54.03(1).19  F. H. Raymond, Le cacul analogique comma Principes et contribution à une théorie générale, Torino, Casa Editrice Libreria Rosenberg & Sellier, 1954, 134 pp, 2000 Lire, Math. Rev. 16 526, other Consiglio Naz. Ricersche. Pubbl. Ist. Appl. Calcolo Nr. 391; 

15 54.03(1).20  A. Rohrberg, Theorie und Praxis der Rechenmaschinen, Stuttgart, B. G. Teubner Verlagsgesellschaft, 1954, 72 pp, DM 3.90, Math. Rev. 15 652 and ZfMG 55 177, other Mathematisch-Physikalische Bibliothek Reihe 1; 

16 54.03(1).21  W. W. Soroka, Analog methods in computation and simulation, New York-Toronto-London, McGraw-Hill Book Co. Inc., 1954, 12+390 pp, $7.50, Math. Rev. 16 526, 

17 54.05(0).01  T. A. Agekjan, Das Sternenall, Leningrad, Verlag der Staatsuniv., 1952, 176 pp, , AJ UdSSR 31 299, in Russian;

