Entry format

Num AJB_ID Author [and author [and …]] [ed.|comp.], Title, Place, Publisher, year, description, price, review [and review [and …]], comments

AJB_ID   volume.section[(subsection)].entry, for example 68.144(1).25 would be volume 68, section 144, subsection 1, and entry number 25.

Commas are field separators for automatic parsing.  Use the word ‘comma’ if you want the character in field string. We will use global search and replace after parsing into fields.

Save as Unicode UTF-8 text encoding. Skip section 4 in Part 1

For volume AJB 46 Index to the Literature of 1943-1946 part II, started12 May 2015, finished, proofread


1 46.03(0).16  F. Dessauer, Weltfahrt der Erkenntnis; Leben und Werk Isaac Newtons, Zürich, Rascher Verlag, 1945, 430 pp, 17.5 sfr, Math Rev 9 169, 

2 46.03(0).20  A. Flexner, Henry S. Pritchett, New York, Columbia University Press, 1943, $2.75, , Pop Astr 52 107 and, 

3 46.03(0).21  J. E. Ford, David Rittenhouse; Astronomer-Patriot 1732—1796, Philadelphia, University of Pennsylvania Press, 1946, 8+226 pp, $2.50 and 15s 6d, Obs 67 65 and Pop Astr 54 495 and Publ ASP 58 389, also published London: Geoffrey Cumberlege and Oxford: University Press;reference AJB 45.03.27;

4 46.03(0).24  N. Günther, Ernst Abbe comma der Schöpfer der Zeiss-Stiftung, Stuttgart, Wissenschaftliche Verlagsgesellschaft, 1946, 211 pp, RM 4.80, Z f Naturf 2 a 476, other Band 2 der Reihe Große Naturforscher; 

5 46.03(0).36  S. P. Mizwa, Nicolas Copernicus 1543—1943, , , , , , Obs 65 129 and Pop Astr 53 525, reference AJB 45.03.69;

6 46.03(0).43  J. Pelseneer, Morale de savants d'Hippocrate à Einstein, Bruxelles, Office de Publicité, 1946, 128 pp, , Ciel et Terre, other Collection Lebègue (7) Nr.77; 

7 46.03(0).44  H. Reichenbach, From Copernicus to Einstein, , , , , , Publ ASP 54 212, reference AJB 45.03.82;

8 46.03(0).57  F. Kubach ed., Nikolaus Kopernikus; Bildnis eines großen Deutschen, München-Berlin, Verlag R. Oldenbourg, 1943, 10+378 pp, 10.50 RM, Z. f. die gesamte Naturwissenschaft 10 33, other Neue Arbeiten der Kopernikus-Forschung mit Auszügen aus kopernikanischen Schriften in deutscher Sprache; 

9 46.03(0).69  , Zum gedenken Isaak Newtons 1643—1943, Moskau, Verlag der Lomonossow-Staatsuniversität Moskau, 1946, 108 pp, 9R., , in Russian;

10 46.03(0).70  , Exposition Le Verrier et son temps comma organisée par l'Observatoire e Paris avex le concours de la Société Astronomique de France Catalogue, Paris, Gauthier-Villars, 1946, 7+75 pp, , , 

11 46.05(0).11  D. S. Evans, Frontiers of Astronomy, London, Sigma Books Ltd., 1946, 175 pp, 6s, Ciel et Terre 64 186 and Obs 67 33 and Proc. Phys. Soc. 60 404, other Sigma Introduction to Science Nr. 1; 

12 46.05(0).13  A. R. Hinks, Einführung in die Astronomie, Bern, Verlag A. Francke, 1946, 267 pp, 6.80 schw. fr., Gaz Astr 31 59 and Himmelswelt 55 206, translated  by H. Bächler;in German;

13 46.05(0).22  J. Rudnicki, Nicholaus Copernicus 1473—1543, , , , , , Obs 65 80, reference AJB 45.03.88;

14 46.05(0).35  A. Zammarchi and A. Ferretti-Torricelli, Corso elementare de Fisica sperimentale; Vol. 1 Meccanica e Cosmografia, Brescia, Verlag La Scuola, 1946, 8+462 pp, 320 Lire, , 

15 46.05(0).36  G. A. Baitsell ed., Science in Progress comma Third Series, New Haven CT, Yale University Press, , 322 pp, 20s, Obs 65 275, also published London: Humphrey Milford and London: Oxford University Press;

16 46.05(0).37  G. A. Baitsell ed., Science in Progress comma Second Series, New Haven CT, Yale University Press, 1946, 317 pp, , , 

17 46.06(0).12  K. Hildebrandt, Kopernikus und Kepler in der deutschen Geistesgeschichte, Halle, Niemeyer, 1944, 14 pp, , , 

18 46.06(0).20  G. Loria, Guida allo Studio della Storia delle Matematiche, Mailand, Ulrico Hoepli, 1946, 19+385 pp, 550 Lire, Obs 67 191, 

19 46.06(0).22  M. W. Makemson, The Morning Star Rises, , , , , , Obs 67 68 and Pop Astr 50 461, reference AJB 45.06.22;

20 46.06(0).23  M. W. Makemson, The astronomical tables of the Maya, , , , , , Pop Astr 52 155, reference AJB 45.06.23;

21 46.06(0).29  L. Nielsen, Tycho Brahes Bogtrykkeri, Kopenhagen, Vald. Pedersens Bogtrykkeri, 1946, , , NAT 1946 115, also published Kopenhagen: E. Munksgaard;

