Entry format

Num AJB_ID Author [and author [and…]] [ed.|comp.], Title, Place, Publisher, year, pagination, cost, review [and review [and …]], comments
122 65.11(0).18 A. J. McMahon, Astrophysics and Space Science; An Integration of Sciences, Englewood Cliffs NJ, Prentice-Hall Inc., 1965, 15+444 pp, $15.00, Ann d’Astrophys 29 150 and IEEE Spectrum 2 Nr. 9 176 and Orion Schaffhausen 10 238 and Phys. Today 18 Nr. 7 65 and Planet. Space Sci. 14 117 and Publ ASP 77 399 and Sky Tel. 30 35 and Sky Tel. 30 37, 

123 65.11(0).19 P. Moore, Naked-eye Astronomy, New York, Norton & Company Inc., 1965, 253 pp, $6.50, Sky Tel. 31 229 and Sky Tel. 32 153, 

124 65.11(0).20 P. Moore, Rymden; Forskning och Färder I Universum, Stockholm, Natur och Kultur Bokförlaget, 1965, 151 pp, Kr 22:00, , 

125 65.11(0).21 W. J. Newell, The Australian Sky, Brisbane, Jacaranda Press, 1965, 123 pp, $A 1.45, Australian J. Sci. 28 397, 

126 65.11(0).22 E. J. Öpik, Initiation à l’Astronomie, Paris, Payot-Kleine Bibliothek Nr. 68, 1964, 184 pp, F3.60, BSAF 79 285 and La Nature 93 117, 

127 65.11(0).23 L. C. Peltier, Starlight Nights, New York, Harper and Row, 1965, 236 pp, $4.95, J. Astr. Soc. Victoria 19 69 and Sky Tel. 31 42 and Sky Tel. 31 96, 

128 65.11(0).24 C.–A. Reichen, Astronomi, Stockholm, Wahlström & Widstrand, 1965, 111 pp, Kr. 24:50, PAT 46 160, 

129 65.11(0).25 C. A. Ronan, The Stars, London, Bodley Head Ltd., 1965, 32 pp, 13s 6d, JBAA 76 212, 

130 65.11(0).26 C. A. Ronan, Man Probes the Universe, , Aldus Books, 1965, 156 pp, 32s 6d, Spaceflight 8 259, 

131 65.11(0).28 C. Schalén, Att Studera Astronomi, Stockholm, Svenska Bokförlaget/Norstedts, 1965, 126 pp, Kr. 24:00, PAT 46 157, 

132 65.11(0).29 E. Schatzman, The Origin and Evolution of the Universe, New York, Basic Books Inc., 1965, 288 pp, $8.50, Sky Tel. 32 38, translated from French by B. Pagel and A. Pagel;

133 65.11(0).30 I. S. Schklowskij, Universum comma Leben comma Vernuft, Moskau, <<Nauka>>, 1965, 284 pp, 1R., Priroda 55 Nr. 8 111 and RJ UdSSR 1966 5.51.6, 2nd edition;

134 65.11(0).31 B. I. Smagin, Kosmos und Wissenschaft, Kiew, <<Naukowa dumka>>, 1964, 99 pp, 16 Kop., , 

135 65.11(0).32 A. G. Smith and T. D. Karr, Radioastronomi comma Utforskning av Planetsystemet med Radio och Radar, Stockholm, Aldus/Bonnier, 1965, 158 pp, KR. 10:50, , 

136 65.11(0).33 T. de Vries and B. Ernst, Elseviers Encyclopedie van het Heelal, Amsterdam-Brüssel, Elsevier, 1965, 192 pp, hfl 3.90, HeD 64 102, 

137 65.11(0).34 H. Wood, The Southern Sky; Astronomy through Your Own Eyes, Sydney-London-Melbourne, Angus & Robertson Ltd., 1965, 120 pp, $1.85, Southern Stars 21 94, 

138 65.11(0).36 W. Zonn, Astronomia dziś i wezoraj, Warszawa, Państwowe Wydawnictwo Naukowe, 1965, 127 pp, zł 10, , 

139 65.11(0).37 J. Aarons ed., Solar System Radio Astronomy, New York, Plenum Press, 1965, 11+416 pp, $17.50, J. Astronaut. Sci. 13 51 and Nature 209 117 and Phys. Abstr. 69 1528 and Phys. Abstr. 69 2286 and Science 151 1376 and Sky Tel. 30 306 and Spaceflight 8 257, 

140 65.11(0).38 W. H. Allen ed., Dictionary of Technical Terms for Aerospace Use, Washington D.C., U.S. Govt. Printing Office, 1965, 314 pp, $3.00, Sky Tel. 31 168 and Sky Tel. 32 36, 

141 65.11(0).39 S. T. Butler and H. Messel ed., Light and Life in the Universe, New York, Pergamon Press Inc., 1965, 340 pp, 17s 6d, Science 149 964, 

142 65.11(0).40 L. Darcy ed., Russian-English Aerospace Dictionary, Berlin, Walter de Gruyter Verlag, 1965, 16+407 pp, DM 62.00, Weltraumfahrt 17 95, 

143 65.11(0).41 W. N. Hess ed., Introduction to Space Science, New York, Gordon & Breach Science Publishers, 1965, 15+919 pp, $29.75, Phys. Today 19 Nr. 5 96/98 and Planet. Space Sci. 14 221 and Sci. American 215 Nr. 3 306 and Science 151 982 and Sky Tel. 31 41 and Sky Tel. 31 293, 

144 65.11(0).42 T. Page and L. W. Page ed., Wanderers in the Sky: The Motions of Planets and Space Probes, New York, Macmillan & Co., 1965, 14+338 pp, $7.95, J. Astronaut. Sci. 13 56 and Publ ASP 78 96 and Science 149 626 and Sky Tel. 30 39 and Sky Tel. 30 167 and Strolling Astr. 19 25/27, 

145 65.11(0).43 T. E. de Vries ed., De Mens ontdekt het Heelal, Amsterdam, Elsevier Publishing Company, 1965, 153 pp, , HeD 63 351, contributors C. A Ronan;other with illustration by S. W. Woods Netherland’s editor T. E. de Vries; 

146 65.11(0).44 S. L. Valley ed., Handbook of Geophysics and Space Environments, London-New York-San Francisco-Sydney-Toronto, McGraw-Hill Book Company Inc., 1965, 19+681 pp, $24.50, , 

147 65.11(0).45 H. H. Voight ed., Landolt-Börnstein comma Zahlenwerte und Funktionen aus Naturwissenschaft und Technik comma New Serie comma Gruppe VI: Astronomie comma Astrophysik und Weltraumforschung comma Band I: Astronomie und Astrophysik, Berlin-Heidelberg-New York, Springer Verlag, 1965, 39+711 pp, DM 314.00, Ann d’Astrophys 28 752 and NAT 1965 69 and PAT 46 77 and Proc. Phys. Soc. 86 232 and Sky Tel. 29 316 and Sky Tel. 30 95 and Sterne 41 215 and VdS Nachr. 14 59 and Weltraunfahrt 17 62, 

148 65.11(0).46 , Russian-English-Chinese Dictionary of Astronomy, London, Scientific Information Consultants Ltd., 1964, 176 pp, 70s, Obs 85 215, 

149 65.11(0).47 , Radio Astronomy, London, Her Majesty’s Stationary Office, 1965, 60 pp, 4s 6d and $0.90, Sky Tel. 30 372, 

150 65.11(0).48 , Untersuchungen des kosmischen Raumes, Moskau, <<Nauka>>, 1965, , 3R. 35 Kop., Priroda 54 Nr. 8 102, 

151 65.11(0).49 , Astronomie comma Sond comma Mond comma Planeten, Moskau, Akad. Wiss. UdSSR Inst. Wiss. Inform. Ergebnisse Wiss., 1965, 144 pp, 66 Kop., , 

152 65.11(0).50 , Der Himmel über uns, , Astronomischen Arbeitskreis Wetzlar, 1965, 204 pp, DM 10.00, Orion Schaffhausen 11 69 and Sterne 41 215, 

153 65.12(0).01 L. Courvoisier ed., Leonhardus Eulerus: Opera Omnia 2nd Series Opera Mechanica et Astronomica Vol. XXX, Zürich, Orell Füssli, 1964, 79+352 pp, sfr 100, Math. Rev. 29 879, 

154 65.12(0).02 F. Brunetti ed., G. Galileo: Opera Omnia Vol I and II, Torino, Unione Tipografico—Editrice Torinese, 1964, 982 pp and 851 pp, L18000, Coelum 34 121, 

155 65.12(0).03 H. Poincaré, Vorlesungen über Himmelsmechanik, Moskau, <<Nauka>>, 1965, 571 pp, 1R. 60 Kop, AJ UdSSR 43 238, translated  by E. A. Grebenikow;edited by G. N. Duboschin;in Russian;

156 65.12(0).04 , Astronomische Abhandlungen; Professor Dr. C. Hoffmeister zum 70 Geburtstage gewidmet, Leipzig, J. A. Barth, 1965, 142 pp, DM 23.30, Blick in das Weltall 1965 94 and BSAF 80 30 and Coelum 33 94 and Sky Tel. 30 240 and Sterne 41 216 and Sternenbote 9 83 and SuW 4 235 and VdS Nachr. 14 74, 

157 65.13(0).01 K. Kovalevsky ed., Le Système de constants astronomiques IAU Symp 21, Paris, Gauthier-Villars & Cie., 1965, 330 pp, F22.00 and $4.50, BSAF 80 303, 

158 65.13(0).02 C. C. Chang and S. S. Huang ed., Proceedings of the Plasma Space Science Symposium, Dordrecht, D. Reidel Publishing Company, 1965, 9+377 pp, hfl 58.00, Mem SA It (NS) 37 427 and Orion Schaffhausen 11 156 and Planet. Space Sci. 14 655, 

159 65.13(0).03 A. A. Nemiro ed., Publikationen der 16 astrometrischen Konfernz der UdSSR, Moskau-Leningrad, Verlag <<Nauka>>, 1965, 140 pp, 1R., , 

160 65.13(0).04 J. Ortner and H. Maseland ed., Introduction to Solar Terrestrial Relations, Dordrecht, D. Reidel Publishing Company, 1965, 9+506 pp, hfl 52.00, Ann d’Astrophys 29 149 and Obs 86 91 and Orion Schaffhausen 11 68 and Phys. Abstr. 69 306, 

161 65.13(0).05 C. de Jager ed., The Solar Spectrum, Dordrecht, D. Reidel Publishing Company, 1965, 14+417 pp, hfl 46.00, Ann d’Astrophys 29 149 and HeD 64 185 and J ATP 28 537 and Obs 86 170 and Orion Schaffhausen 11 68 and Phys. Abstr. 69 306 and Sky Tel. 31 104 and Sky Tel. 32 37, 

162 65.13(0).06 R. Lüst ed., Stellar and Solar Magnetic Fields IAU Symp. 22, Amsterdam, North-Holland Publishing Company, 1965, 6+460 pp, 110s, BSAF 80 30 and Ann d’Astrophys 28 748 and Naturwissenschaften 52 667 and Phys. Abstr. 68 3078 and Space Sci. Rev. 5 435, 

163 65.13(0).07 G. M. Brown ed., Progress in Radio Science 1960-63 Volume III; The Ionosphere, Amsterdam-New York-London, Elsevier Publishing Company, 1965, 7+196 pp, $13.00, J ATP 28 344, 

164 65.13(0).08 R. E. Burgess ed., Progress in Radio Science 1960-63 Volume VII; Radioelectronics, Amsterdam, Elsevier Publishing Company, 1965, 5+168 pp, hfl 30.00, , 

165 65.13(0).09 K. –I. Maeda and S. Silver ed., Progress in Radio Science 1960-63 Volume VIII Space Radio Science, Amsterdam-New York-London, Elsevier Publishing Company, 1965, 8+235 pp, $13.50, Science 149 851 and ZfA 63 62, 

166 65.13(0).11 I. Robinson and A. Schild and E. L. Schücking ed., Quasi-Stellar Sources and Gravitational Collapse, Chicago, University of Chicago Press, 1965, 475 pp, $10.00 and 72s, Ann d’Astrophys 29 49 and Nature 208 963 and Phys. Abstr. 68 3073 and Publ ASP 77 398 and Sci. American 213 Nr. 2 116 and Sky Tel. 29 239, 

167 65.13(0).12 M. Walt ed., Auroral Phenomena: Experiments and Theory, Stanford CA, Stanford University Press, 1965, 10+170 pp, $6.50, J. Astronaut. Sci. 12 153 and J ATP 28 796 Nature 210 47 and Planet. Space Sci. 14 118 and Publ ASP 78 95 and Science 148 1315 and Sky Tel. 29 239 and Space Sci. Rev. 4 857, also published London: Oxford University Press;

168 65.13(0).14 B. Maehlum ed., Proceedings of a Symposium on High Latitude Particles and the Ionosphere, London, Logos Press Ltd., 1965, 7+320 pp, $16.00, , also published London: Academic Press Ltd.;

169 65.13(0).15 D. G. King-Hele and P. Muller and G. Righini ed., Space Research V, Amsterdam, North-Holland Publishing Company, 1965, 19+1248 pp, hfl 150.00, Ann d’Astrophys 28 579 and Nature 207 1323 and Phys. Ber. 44 3433 and Planet. Space Sci. 13 869 and Science 148 1512 and Science 149 169 and Weltraumfahrt 16 94 and ZfA 63 63, 

170 65.13(0).17 , Außerirdische Zivilisationen, Erewan, Akad. Wiss. Armen. SSR, 1965, 151 pp, 66 Kop., Astrofisika 1 251 and Astrofisika 1 351 and Priroda 55 Nr. 2 113 and RJ UdSSR 1966 5.51.5, 

171 65.13(0).19 , Lunar Flight Programs comma Advances in Astronautical Sciences Vol 18, North Hollywood CA, Western Periodical Co., 1964, 620 pp, , Spaceflight 7 212, 

172 65.13(0).20 , Fragen der Astrophysik comma Untersuchung der Atmosphären von Venus und Mars, Kiew, Verlag <<Naukowa dumka>>, 1965, 167 pp, 61 Kop., , 

173 65.13(0).21 J. –L. Steinberg ed., Astronomical Observations from Space Vehicles IAU Symp 23, Paris, Editions du Centre National de la Recherche Scientifique, 1965, 6+370 pp, F 50.00 and $10.20, Postępy Astr. 13 132, other same as Ann d’Astrophys 27 763-847 and Ann d’Astrophys 28 123-264 comma 583-624 comma 755-803; 

174 65.13(0).22 W. J. Luyten ed., First Conference on Faint Blue Stars, Minneapolis MN, The Observatory University of Minnesota, 1965, 2+136 pp, , Sky Tel. 31 364, 

175 65.13(0).23 , The Structure and Evolution of Galaxies, London-New York-Sydney, Interscience Publishers, 1965, 9+174 pp, 60s, , 

176 65.13(0).25 , 3rd Consultation on Solar Physics and Hydrodynamics, Prag., Nakladatelství Československé Akademie Věd, 1965, 189 pp, Kčs 51.00, Mem SA It (NS) 37 429, 

177 65.13(0).27 D. F Blei ed., Natural Electromagnetic Phenomena Below 30kHz, New York, Plenum Press, 1964, 470 pp, $17.50, Z. Geophys. 31 282, 

178 65.13(0).30 , Die 5th Konferenz über Probleme der Planetologie, Leningrad, , 1965, 206 pp, 1R., RJ UdSSR 1966 1.51.510, other edited by the Geogr. Ges. UdSSR and Leningrader Abt. WAGO and Minerlog. Ges. UdSSR; 

179 65.13(0).31 J. V. Hindman and B. E. Westerlund and E. R. Wilkie ed., Symposium on the Magellanic Clouds, Fyshwick A. C. T., Union Offset Co., 1965, 5+95 pp, , , 

180 65.13(0).32 G. A. Skuridin and J. L. Alpert and W. I. Krassowskij and W. W. Schwarew ed., Die Erforschung des kosmischen Raumes, Moskau, Verlag <<Nauka>>, 1965, 624 pp, 3R. 50 Kop., , 

181 65.13(0).34 E. Brun and I. Hersey ed., 14th I.A.F. Congress Proceedings Vol. 1-4, Paris, Gauthier-Villars, 1965, 1940 pp, F240, Spaceflight 8 260, also published Warsaw: PWN-Polish Scientific Publishers;

182 65.13(0).35 , IEEE Northeast Electronics Research and Engineering Meeting Boston 1965, Newton MA, E. E. Witschi jr., 1965, 256 pp, , Phys. Abstr. 69 2284, 

183 65.14(0).01 R. N. Bracewell, The Fourier Transform and Its Applications, New York, McGraw-Hill Book Company, 1965, 381 pp, , , 

184 65.14(0).16 H. Eagle ed., Mathematical Analysis of Observations, London, Iliffe Books Ltd., 1965, 15+350 pp, 63s and $12.50, Obs 85 266, translated from Russian by B. M. Schtschigolew;also published New York: Elsevier Publishing Company;

185 65.16(0).55 I. B. Lewinson and A. A. Nikitin, Handbook of Theoretical Computations of Line Intensities in Atomic Spectra, Jerusalem, Israel Program for Scientific Translations, 1965, 6+242 pp, £4 10s, , translated from Russian by Z. Lerman;edited by C. Roth;also published London: Oldbourne Press;

186 65.16(0).64 C. E. Moore, Selected Tables of Atomic Spectra; Atomic Energy Levels and Multiplet Tables comma Si II comma Si III comma Si IV, Washington D.C., U.S. Govt. Printing Office, 1965, 9+23 pp, $0.35, ZfA 63 284, 

187 65.16(0).75 A. Ramakrishnan, Elemetarteilchen und kosmische Strahlung, Moskau, <<Mir>>, 1965, 607 pp, 3R. 23 Kop., RJ UdSSR 1966 3.51.341, reprint of AJB 63.135.46;translated from English;in Russian;

188 65.16(0).78 S. Rosen and R. Siegfried and J. M. Dennison, Concepts in Physical Science, New York, Harper & Row, 1965, 577 pp, $9.95, Phys. Today 19 Nr. 2 76/78, 

189 65.16(0).106 S. R. Singer ed., Interactions of Space Vehicles with an Ionized Atmosphere, Oxford, Pergamon Press Ltd., 1965, 8+510 pp, £7 10s, Nature 211 798 and Spaceflight 8 340, 

190 65.16(0).107 , Materien i Focus, Stockholm, Almqvuist & Wiksell/Gebers Förlag, 1965, 684 pp, Kr 245:00, PAT 46 155, 

191 65.16(1).114 H. W. Drawin and P. Felenbok, Data for Plasmas in Local Thermodynamic Equilibrium, Paris, Gauthier-Villars, 1965, 504 pp, f 64.00, ZfA 63 62, 

192 65.17(0).06 E. Bergaust, Die Zukunft der Raumfahrt, Düsseldorf-Wien, Econ-Verlag, 1965, 312 pp, DM 19.80, Phys. Blätter 22 44 and VdS Nachr. 14 168, 

193 65.17(0).07 B. P. Blasingame, Astronautics, New York, McGraw-Hill Book Company, 1964, 217 pp, $9.75, Ann d’Astrophys 28 751, 

194 65.17(0).10 W. Büdeler, Weltraumfahrt comma Möglichkeiten und Grenzen, Gütersloh, C. Bertelsmann Verlag, 1965, 192 pp, DM 5.80, Weltraumfahrt 17 94, 

195 65.17(0).11 P. A. Campbell, Earthman comma Spaceman comma Universal Man?, Paterson NJ, Pageant Books Inc., 1965, 229 pp, $5.00, Sky Tel. 31 42, 

196 65.17(0).15 A. C. Clarke, Man in Space, , Life Science Library, 1964, 200 pp, 29s, Spaceflight 8 148, 

197 65.17(0).18 F. T. Evans and H. D. Howard, Outlook on Space, London, Allen & Unwin Ltd., 1965, 175 pp, 25 s, J. Astronaut. Sci. 13 89 and Spaceflight 8 70, 

198 65.17(0).19 K. Gatland, Die Kosmonautik der nächsten Jahre, Moskau, Militärverlag, 1964, 414 pp, 1R. 21 Kop., AJ UdSSR 43 238 and RJ UdSSR 1965 12.62.5, translated from English;in Russian;

199 65.17(0).20 S. Glasstone, Sourcebook on the Space Sciences, London-Princeton NJ, D. Van Nostrand Company Inc., 1965, 18+937 pp, 62s and $7.95, Nature 209 116 and Sci. American 214 Nr. 1 132 and Science 149 1363 and Sky Tel. 30 306 and Sky Tel. 31 37 and Spaceflight 8 147, 

200 65.17(0).28 P. Müller, Nadelstich ins Weltall, Graz-Stuttgart, L. Stocker Verlag, 1963, 278 pp, DM 12.00, Weltraumfahrt 17 95, 

201 65.17(0).33 A. P. Sentschenko, Atomare Raketen und die Probleme der Erschließung des Kosmos; Populärwissenschaftlicher Überblick, Moskau, <<Atomisdat>>, 1964, 184 pp, 28 Kop., , 

202 65.17(0).34 H. Shapley, Utblick från en fjärran Stjärna, Stockholm, Rabén & Sjögren Bokförlags, 1965, 210 p, Kr. 8:50, , 

203 65.17(0).36 R. A. Sonneborn and J. Polgreen, The Question and Answer Book of Space, New York, Random House Inc., 1965, 69 pp, $1.95, Sky Tel. 31 104, 

204 65.17(0).38 E. Stuhling and G. Mesmer, Space Science and Engineering, New York, McGraw-Hill Book Co., 1965, 457 pp, $20, Ann d’Astrophys 29 408, 

205 65.17(0).39 M. Turner, Elektronenaugen im Weltraum, Stuttgart, Franckh’sche Verlagshandlung, 1965, 86 pp, DM 9.80, PAT 47 73 and Sternenbote 8 123 and SuW 5 86 and VdS Nachr. 14 148 and Weltraumfahrt 17 94, 

206 65.17(0).40 M. Vertregt, Principles of Astronautics, New York, Elsevier Publishing Company, 1965, 339 pp, $9.00 and 50s, J. Astronaut. Sci. 13 56 and Spaceflight 8 147, 2nd edition;

207 65.17(0).44 O. Wołczak, I znów bliżej gwiazd, Warszawa, Wiedza Powszechna, 1965, 196 pp, zł 10, , 

208 65.17(0).45 F. Zwicky, Morphology of Propulsive Power, Pasadena, Société de Recherche Morphologique, 1965, 390 pp, , BSAF 79 375, 

209 65.17(0).46 P. C. Badgley ed., Scientific Experiments for Manned Orbital Flights, , Western Periodicals, 1965, 358 pp, $14.25, Spaceflight 8 340, 

210 65.17(0).47 S. W. Colomb ed., Digital Communications with Space Applications, New York, Prentice Hall Inc., 1964, 210 pp, , Ann d’Astrophys 28 751, 

211 65.17(0).48 F. S. Johnson ed., Satellite Environment Handbook, Stanford, Stanford University Press, 1965, 14+193 pp, $7.50, Ann d’Astrophys 28 577 and J. Astronaut. Sci. 12 154 and La Nature 93 446 and Planet. Space Sci. 14 381 and Publ ASP 77 400 and Science 148 814 and Sky Tel. 29 240 and Space Sci. Rev. 4 856, 2nd edition;

212 65.17(0).49 J. G. Meitner ed., Astronautics for Science Teachers, New York, John Wiley and Sons Inc., 1965, 381 pp, $8.95, Sky Tel. 31 104 and Sky Tel. 32 95 and Spaceflight 8 337, 

213 65.17(1).61 J. W. Macvey, Journey to Alpha Centauri, New York, Macmillan Company, 1965, 246 pp, $5.95, J. Astronaut. Sci. 12 157, 

214 65.17(2).78 F. A. Heacock, Graphics in Spaceflight, London, McGraw-Hill Publishing Co. Ltd., 1964, 114 pp, 35s, Spaceflight 8 70, 

215 65.17(2).100 G. V. Groves ed., Dynamics of Rockets and Satellites, Amsterdam, North-Holland Publishing Company, 1965, 11+313 pp, 80s and $11.20, Nature 208 516 and Science 150 471, 

216 65.17(2).101 G. R. Pitman jr. ed., Inertial Guidance, London-New York, John Wiley & Sons Inc., 1962, 13+481 pp, $18.50, Math. Rev. 29 863, 

217 65.17(3).107 W. A. Jegorow, Das räumliche Problem der Erreichung des Mondes, Moskau, <<Nauka>>, 1965, 224 pp, 75 Kop., , 

218 65.17(3).115 S. van der Werf, Bestemming Maan, Zwolle, La Rivière & Voorhoeve, 1965, 168 pp, hfl 10.75, HeD 64 52, 

219 65.17(4).121 W. R. Corliss, Space Probes and Planetary Exploration, Princeton NJ, D. Van Nostrand Co. Inc., 1965, 507 pp, $7.75 and £3, IEEE Spectrum 2 Nr. 11 152/154 and Spaceflight 8 149, 

220 65.17(4).123 E. A. Grebenikow and W. G. Demin, Interplantare Flüge, Moskau, <<Nauka>>, 1965, 200 pp, 45 Kop., RJ UdSSR 1966 9.51.95, 

221 65.18(0).02 J. L. Alpert and A. W. Gurewitsch and L. P. Pitajewskij, Space Physics with Artificial Satellites, New York, Consultants Bureau, 1965, 10+240 pp, $25.00, IEEE Spectrum 3 Nr. 6 156 and Science 150 875, reprint of AJB 64.18.01;translated from Russian by H. N. Nickle;

222 65.18(0).09 E. Dolezal, Vorstoß in den Weltraum, Stuttgart, K. Thienemanns Verlag, 1964, 88 pp, DM 9.80, Weltraumfahrt 16 174, 

223 65.18(0).12 E. Engle and K. H. Drummond, Sky Rangers, New York, John Day, 1965, 219 pp, $4.95, Sky Tel. 31 42 and Sky Tel. 31 228, 

224 65.18(0).17 R. P. Haviland, Handbook of Satellites and Space Vehicles, Princeton NJ, D. van Nostrand Company Inc., 1965, 16+457 pp, £6 2s, Spaceflight 8 148, 

225 65.18(0).34 J. G. Vaeth, Weather Eyes in the Sky, New York, Ronald Press Company, 1965, 124 pp, $5.00, Sky Tel. 29 378, 

226 65.18(0).36 L. A. Sobel ed., Space: From Sputnik to Gemini, , Fact on File Inc., 1965, 310 pp, $2.00, Spaceflight 8 258, 

227 65.18(1).52 D. K. Barton, Radar Systems Analysis, Englewood Cliff NJ, Prentice-Hall Inc., 1964, 608 pp, $16.95, J. Astronaut. Sci. 12 158, 

228 65.18(1).112 R. Teisseyre, Artificial Earth Satellites; Observations and Investigations in Poland, Warschau, Polish Scientific Publishers, 1965, 147 pp, zł 30.00, , 

229 65.19(0).02 F. Baur, Sternglaube-Sterndeutung-Stenkunde, Frankfurt, Verlag Josef Knecht, 1965, 140 pp, DM 6.80, SuW 4 235, 

230 65.19(0).03 D. Burger, Sphereland, New York, T. Y. Crowell Company, 1965, 208 pp, $4.95, Sky Tel. 31 42, translated from Dutch by C. J. Rheinboldt;

231 65.19(0).06 A. Giret, L’Astronomie et le Sentiment Réligieux, Paris, Librairie Paillard, 1964, 199 pp, F 8.90 and 12s 6d, Irish AJ 7 167, 

232 65.19(0).07 F. Hoyle, Manniskor och Vintergator, Stockholm, Aldus/Bonniers, 1965, 64 pp, Kr 5:50, , 

233 65.19(0).10 P. von der Osten-Sacken, Wanderer durch Raum und Zeit, Stuttgart, S. Hirzel Verlag, 1965, 284 pp, DM 18.00, VdS Nachr. 15 34, 

234 65.19(0).13 I. S. Schklowskij, Wszechświat comma życie comma myśl, Warszawa, Państwowe Wydawnictwo Naukowe, 1965, 406 pp, zł 31, , 

235 65.19(0).14 H. Shapley, Wir Kinder der Milchstaße, Dusseldorf-Wien, Econ-Verlag, 1965, 272 p, DM 14.80, VdS Nachr. 15 15, 

236 65.19(0).15 J. N.Smejew, Wissenshaft und Religion über das Weltall: Naturwissenshaftliche und philosophische Analyse der Theorie des <<Wärmetodes>> des Universums, Kiew, <<Naukowa dumka>>, 1964, 69 pp, 8 Kop, , 

237 65.19(0).18 I. Velikovsky, Worlds in Collision, New York, Dell Publications Co. Inc., 1965, 422 pp, $1.95, reprint of AJB 50.64.06;, 

238 65.19(1).40 T. Allen, The Quest – a Report on Extraterrestrial Life, Philadelphia, Chilton Company – Book Division, 1965, 12+323 pp, $4.95, Phys. Today 18 Nr. 11 74/76 and Publ ASP 77 305 and Sky Tel. 30 102, 

239 65.19(1).43 G. Ehrensvard, Man on Another World, Chicago, University of Chicago Press, 1965, 182 pp, $5.95, Spaceflight 8 226, 

240 65.19(1).49 F. Ordway III, Life in Other Solar Systems, New York, Dutton & Company Inc., 1965, 96 pp, $3.75, Publ ASP 77 304, 

241 65.01(1).201 W. Lohmann and F. Henn and U. Güntzel-Lingner ed., Astronomischer Jahresbericht Vol 63, Berlin, Walter de Gruyter & Co., 1965, 16+664 pp, DM72.00, , 

242 65.02(0).26 H. Grötzsch, Die ersten Forschungsergebnisse der Globusinventarisierung in der Deutschen Demokratischen Republik, Veröffentlichungen des Staatl, Mathematisch-Physikalischen Salons Dresden-Zwinger Bd. 2, 1963, 202 pp, DM 18.00, Blick in das Weltall 1865 Nr. 5 44, other is this a book?; 

243 65.02(0).27 A. R. Hall, Die Geburt der naturwissenshaftlichen Methode 1630-1720, Gütersloh, S. Mohn Verlag, 1965, 436 pp, DM 25.00, SuW 5 22, 

244 65.02(0).29 G. S. Hawkins and J. B. White, Stonehenge Decoded, New York, Doubleday & Co. Inc., 1965, 14+202 pp, $5.95 and 30s, Nature 210 1302 and Sky Tel. 31 42 and Sky Tel. 32 32, also published London: Souvenir Press Ltd.;

245 65.02(0).43 B. G. Kusnezow, Die Entwicklung der physikalischen Ideen von Galilei bis Einstein im Lichte der heutigen Wissenschaft, Moskau, Akad. Wiss. UdSSR, 1963, 509 pp, , , 

246 65.02(0).44 J. Lear, Kepler’s Dream, Berkeley CA, University of California Press, 1965, 182 pp, $5.00, JBAA 75 210 and Nature 208 960 and Phys. Today 18 Nr. 7 66 and Sky Tel. 29 239 and Strolling Astr. 19 86, translated  by P. F. Kirkwood;in English;

247 65.02(0).46 W. Ley, Die Himmelskunde, Düsseldorf-Wien, Econ-Verlag GmbH, 1965, 616 pp, DM 24.80, Phys. Blätter 21 441 and SuW 5 148, 

248 65.02(0).47 J. N. Locker, The Dawn of Astronomy, Cambridge MA, M.I.T. Press, 1965, , $2.95, Sci. American 214 Nr. 2 134, other a reprint?; 

249 65.02(0).61 J. R. Ravetz, Astronomy and Cosmology in the Achievement of Nicolaus Copernicus, Warshau, Zaklad Narodowy Imienia Ossolinskich Wydawnictwo Polskiej Akademii Nauk, 1965, 95 pp, zł 20.00, Sky Tel. 32 97, 

250 65.02(0).62 V. Ronchi, Storia del Cannocchiale, Vatican City, Pontifica Accademia delle Scienze, 1964, 122 pp, , JOSA 55 1192, 

251 65.02(0).64 C. Schmidt-Schönbeck, 300 Jahre Physik und Astronomie an der Kieler Universität, Kiel, Verlag F. Hirt, 1965, 261 pp, , SuW 5 22, 

252 65.02(0).77 M. K. Munitz ed., Theories of the Universe, Chicago, Free Press of Glencoe Illinois, 1965, 437 pp, $2.45, Sky Tel. 29 378, 

253 65.03(0).06 G. Buttman, John Hershel, Stuttgart, Wissenshaftliche Verlagsgesellschaft mbH, 1965, 261 pp, DM 24.80, Sky Tel. 31 364 and VdS Nachr. 15 66, 

254 65.03(0).07 H. Cuny, Albert Einstein: The Man and his Theories, New York, Eriksson, 1965, 175 pp, $5.00, , translated from French by M. Savill;

255 65.03(0).13 J. Gadomski, Poczet wielkich astronomów, Warszawa, Nasza Księgarnia, 1965, 91 pp, zł 14, , 

256 65.03(0).21 A. Koestler, The Sleepwalkers, Harmondsworth, Penguin Books Ltd., 1964, 624 pp, 8s 6d, La Nature 93 120, 

257 65.03(0).22 A. Koyré, Newtonian Studies, London, Chapman & Hall Ltd., 1965, 8+288 pp, 50s, Nature 209 1273, 

