Entry format

Num AJB_ID Author [and author [and…]] [ed.|comp.], Title, Place, Publisher, year, pagination, cost, review [and review [and …]], comments
26 65.83(0).221 W. W. Scharonow, Der Mond – die erste Station auf dem Weg in den Kosmos, Moskau, Militärverlag, 1964, 99 pp, 16 Kop., , 

27 65.83(0).254 N. A. Weil, Lunar and Planetary Surface Conditions, London-New York, Academic Press Inc., 1965, 234 pp, 80s and $10.00, Nature 208 961 and Spaceflight 8 106 and Strolling Astr. 19 87, 

28 65.83(0).259 , Mondkarten 2 Sonderheft, Bremen, Verlag Olbers-Gesellshaft, 1965, 48 pp, DM 5.00, Sterne 42 79 and Sternenbote 9 39 and VdS Nachr. 14 149, 

29 65.83(0).260 , Ranger VII Photographs of the Moon Part II Camera B Series, Washington D.C., NASA, 1965, 25 pp and 200 plates, $6.50, Sky Tel. 29 316, 

30 65.83(0).261 , Ranger VII Photographs of the Moon Part III Camera P Series, Washington D.C., NASA, 1965, 7+25 pp and 200 plates, $6.50, Sky Tel. 31 41, 

31 65.83(0).262 , Figur und Bewegung des Mondes, Kiew, <<Naukowa dumka>>, 1965, 138 pp, 53 Kop., , 

32 65.84(0).08 N. P. Barabaschow and J. Širokoý, Mars, Prag., Staatl. pädagog. Verlag, 1965, 16 pp, 8.50 Kćs, , 

33 65.84(0).60 F. Jackson and P. Moore, Life on Mars, London, Routledge and Kegan Paul Ltd., 1965, 111 pp, 18 s, Irish AJ 7 30, 

34 65.84(0).94 P. Moore, Guide to Mars, London, F. Muller Ltd., 1965, 144 pp, 16 s, Obs 86 89, 

35 65.84(0).95 P. Moore and F. Jackson, Life on Mars, London, Routledge and Kegan Ltd., 1965, 111 pp, 18s, Spaceflight 7 211, other same as 65.84.60?; 

36 65.84(0).113 R. S. Richardson and C. Bonestell, Mars, London, Allen & Unwin, 1965, 168 pp, 45 s and $8.50, Sky Tel. 32 157 and Spaceflight 8 260, also published London: Harcourt Brace & World;

37 65.88(0).02 A. F. O’D. Alexander, The Planet Uranus: A History of Observation comma Theory comma and Discovery, London, Faber & Faber Ltd., 1965, 316 pp, 70 s and $12.75, BSAF 80 32 and HeD 64 51 and Irish AJ 7 91 and JBAA 75 334 and MN ASSA 25 29 and Nature 211 346 and Obs 86 40 and Science 150 1707 and Sky Tel. 31 103 and Southern Stars 21 95 and Spaceflight 8 109 and Sterne 42 78 and Strolling Astr. 19 97 and SuW 4 259, also published New York: Elsevier;

38 65.71(0).16 R. Fraser, The Habitable Earth, New York, Basic Books Inc., 1965, 155 pp, $4.50, Science 148 1455, 

39 65.71(0).17 G. Gamow, A Planet Called Earth, London, Macmillan & Co. Ltd., 1965, 10+257 pp, 35 s, Nature 208 961, 

40 65.71(0).20 H. Haber, Unser blauer Planet, Stuttgart, Deutsche Verlags-Anstalt, 1965, 136 pp, DM 14.80, Phys. Blätter 21 342 and SuW 5 46 and Weltraumfahrt 17 63, 

41 65.71(0).47 S. N. Namowitz and D. B. Stone, Earth Science – the World we Live in, Princeton NJ, Van Nostrand Company Inc., 1965, 597 pp, $5.60, Sky Tel. 29 172, 

42 65.71(0).61 E. K. Fedorow and K. J. Kondratjew and M. G. Kroschkin and W. G. Moratschewskij ed., Unser Planet vom Kosmos aus gesehen; Photographisches Album, Leningrad, Gidrometeoisdat, 1964, 96 pp, 70 Kop., Applied Optics 4 648 and Applied Optics 4 658 and Priroda 54 Nr. 11 125, 

43 65.72(0).05 R. A. Craig, The Upper Atmosphere: Meteorology and Physics, New York-London, Academic Press Inc., 1965, 12+509 pp, $12.50 and £4 16s, Phil. Mag. (8) 12 1307 and Phys. Abstr. 68 2491 and Planet. Space Sci. 14 117 and Science 149 622, 

44 65.72(0).44 H. Riehl, Introduction to the Atmosphere, New York, McGraw-Hill Book Company, 1965, 365 pp, $8.95, Sky Tel. 31 42 and Sky Tel. 31 166, 

45 65.72(0).54 C. O. Hines and I. Paghis and T. R. Hartz and J. A. Fejer ed., Physics of the Earth’s Upper Atmosphere, Englewood Cliffs NJ, Prentice-Hall, 1965, 14+434 pp, $17.35 and 105 s, J. Astronaut. Sci 13 92 and Nature 211 459 and Phys. Abstr 69 846 and Phys. Today 18 Nr. 11 63 and Planet. Space Sci. 14 815 and Proc. IEEE 53 1812 and Science 150 336, 

46 65.72(0).55 , CIRA Cospar International Reference Atmosphere 1965, Amsterdam, North-Holland Publishing Company, 1965, 313 pp, DM 27.00 and 54 s, J ATP 28 700 and Nature 210 1305 and Obs 86 92 and Phys. Blätter 22 236 and ZfA 64 96, 

47 65.74(0).59 K. J. Kondratjew, Radiative Heat Exchange in the Atmosphere, Oxford-London, Pergamon Press, 1965, 10+411 pp, £5 net., BSAF 80 33 and Publ. ASP 78 267, reprint of AJB 57.65.06;translated from Russian by O. Tedder;edited by C. D. Walshaw;

48 65.75(0).45 R. A. Helliwell, Whistlers and Related Ionospheric Phenomena, Stanford, Stanford University Press, 1965, 8+349 pp, $12.50, Publ. ASP 78 97, 

49 65.75(0).97 K. Sprenger and E. A. Lauter and K. H. Schmelovsky, Sonnenfinsterniseffekte in der unteren Ionosphäre nach Beobachtungen im Mittle- und Langwellenbereich, Berlin, Akademie Verlag, 1962, 75 pp, DM 29.00, Gerlands Beiträge Geophys. 74 85, 

50 65.75(0).114 R. C. Whitten and I. G. Poppoff, Physics of the Lower Ionosphere, New York-London, Prentice-Hall Inc., 1965, 8+232 pp, $7.50 and £3, IEEE Spectrum 3 Nr. 7 159 and J ATP 28 1037 and Planet. Space Sci. 14 449 and Proc. Phys. Soc. 89 173 and Science 152 952, 

51 65.75(0).117 , Die Vertilung der Elektronenkonzentration in der Ionosphäre and Exosphäre, Moskau, <<Mir>>, 1964, 501 pp, 2R. 12 Kop., RJ UdSSR 1965 10.62.217, translated from English by K. I. Gringaus;in Russian;other from the NATA course of April 1961 in Norway; 

52 65.76(1).18 S. Chapman, Documents on Solar Physics comma Geomagnetism and Aurora – Modern Physics Series, New York, Gordon & Breach Science Publishers, 1965, , $4.95 and $1.95, , 

53 65.76(2).129 C. W. Gartlein and D. S. Kimball and G. C. Sprague, The Origin and Morphology of the Aurora, Ithaca, Cornell University Press, 1965, 134 pp, $8.00, Sky Tel. 30 240, 

54 65.76(2).130 C. W. Gartlein and P. M. Millman and G. C. Sprague, North American Aurora Visoplots, Ithaca, Cornell University Press, 1965, 190 pp, $10.00, Sky Tel. 31 229, 

55 65.76(2).191 , Untersuchung der Polarlichter comma goemagnetischen Störungen und der Ionosphäre in hohen Breiten, Moskau-Leningrad, <<Nauka>>, 1965, 80 pp, 34 Kop., , 

56 65.76(2).192 , Polarlichten und das Leuchten des Nachhimmels: Sammlung von Aufsätzen Nr. 11, Moskau, <<Nauka>>, 1965, 75 pp, 40 Kop., , 

57 65.65(0).150 J. I. Witinskij, Solar-Activity Forecasting, Jerusalem, Israel Program for Scientific Translation Ltd., 1965, 4+129 pp, $4.00 and 54 s, Nature 211 1238 and Sky Tel. 31 297, translated from Russian by Z. Lerman;edited by R. Hardin;also published London: Osbourne Press;

58 65.67(0).59 I. S. Schklowskij, Physics of the Solar Corona, Oxford-New York, Pergamon Press, 1965, 475 pp, £6 and $18.50, BSAF 80 301 and JBAA 76 213, 2nd edition;translated from Russian by L. A. Fenn;

59 65.67(0).74 S. K. Wsechswjatskij and G. M. Nikolskij and W. I. Iwantschuk and A. T. Nesmjanowitsch and E. A. Ponomarew and G. A. Rubo and W. I. Tscherednitschenko, Sonnenkorona und Korpuskularstrahlung in interplanetaren Raum, Kiew, Univ. Kiew, 1965, 216 pp, 93 Kop., , 

60 65.68(0).80 M. R. Kundu, Solar Radio Astronomy, London-New York-Sydney, Interscience Publishers Inc., 1965, 10+660 pp, £7 10s and $19.75, Ann d’Astrophys 29 151 and J. Astronaut. Sci. 13 128 and Nature 210 559 and Publ. ASP 78 264 and Science 153 163 and Sky Tel. 31 42 and Sky Tel. 31 222, 

61 65.51(0).15 S. Hayakawa and H. -Y. Chiu and G. Feinberg and M. Dresden, Lectures on Astrophysics and Weak Interactions Vol. 2, New York, Gordon & Breach, 1965, 5+471 pp, £1 12s 6d, Nature 210 55 and Proc. Phys. Soc. 87 868, also published London: Blackie & Sons Ltd.;other Brandeis Summer Institute in Theoretical Physics 1963; 

62 65.51(0).28 R. N. Thomas, Some Aspects of Non-Equilibrium Thermodynamics in the Presence of a Radiation Field, Boulder CO, University of Colorado Press, 1965, 14+210 pp, $5.00, AJ UdSSR 43 698 and Ann d’Astrophys 28 874 and Phys. Today 19 Nr. 9 97 and Science 150 1144 and Sky Tel. 30 372 and ZfA 63 282, 

63 65.51(3).86 R. W. Preisendorfer, Radiative Transfer on Discrete Spaces, Oxford-London-New York-Paris-Frankfurt, Pergamon Press, 1965, 462 pp, £7, Phys. Blätter 22 140, 

64 65.51(3).89 D. H. Sampson, Radiative Contributions to Energy and Momentum Transport in a Gas, New York-London, Interscience Publishers, 1965, 15+678 pp, £3 4s, , 

65 65.54(0).37 W. A. Fowler and F. Hoyle, Nucleosynthesis in Massive Stars and Supernovae, Chicago-London, University of Chicago Press, 1965, 6+148pp, $4.50, BSAF 80 301 and Obs 86 86, 

66 65.54(0).92 M. Schwarzschild, Structure and Evolution of the Stars, New York, Dover Publications, 1965, 296 pp, $2.25, Coelum 34 87 and Sky Tel. 31 229, reprint of AJB 58.52.24;

