Entry format

Num AJB_ID Author [and author [and …]] [ed.|comp.], Title, Place, Publisher, year, description, price, review [and review [and …]], comments

AJB_ID   volume.section[(subsection)].entry, for example 68.144(1).25 would be volume 68, section 144, subsection 1, and entry number 25.

Commas are field separators for automatic parsing.  Use the word ‘comma’ if you want the character in field string. We will use global search and replace after parsing into fields.

Save as Unicode UTF-8 text encoding. Skip section 4 in Part 1

For volume AJB 52 Index to the Literature of 1952, started 1 Feb 2014, finished 28 Mar 2014, proofread 4 April 2014


1 52.01(0).09  D. R. Hartree, Numerical Analysis, Oxford, Clarendon Press, 1952, 14+287 pp, $6.00, Math. Rev. 14 690, 

2 52.01(0).20  H. Mineur, Techniques de cacul numérique à l'usage des mathématiciens comma astronomes comma physiciens et ingénieurs, Paris-Liège, Librairie Polytechnique Ch. Béranger, 1952, 22+605 pp, fr. 7300, Math. Rev. 15 557, 

3 52.02(0).25  L. Landau and E. Lifshitz, The Classical Theory of Fields, Cambridge MA, Addison-Wesley Press, 1951, 354 pp, $7.50, J RAS Canada 47 96, translated from Russian by M. Hammermesh;

4 52.02(0).31  C. E. Moore, Atomic Energy Levels as derived from the analyses of optical spectra: Vol 2 The Spectra of Chromium comma  Manganese comma Iron comma Cobalt comma Nickel comma Copper comma Zinc comma Gallium comma Germanium comma Arsenic comma Selenium comma Bromine comma Krypton comma Rubidium comma Strontium comma Yttrium comma Zirconium comma and Niobium, Washington DC, , 1952, 31+230 pp, , , other Circ. National Bureau of Standards 467; 

5 52.02(0).32  C. E. Moore, An Ultraviolet Multiplet Table: The Spectra of Chromium comma  Manganese comma Iron comma Cobalt comma Nickel comma Copper comma Zinc comma Gallium comma Germanium comma Arsenic comma Selenium comma Bromine comma Krypton comma Rubidium comma Strontium comma Yttrium comma Zirconium comma and Niobium, Washington DC, , 1952, 5+115 pp, , J. Optical Soc. America 42 861, other Circ. National Bureau of Standards 488 section 2; 

6 52.02(0).38  V. Ronchi, Storia della Luce, Bologna, Fondazione <<Giorgio Ronchi>> Zaninchelli, 1952, , , Mem SA It (NS) 23 247, 2nd edition;

7 52.02(0).40  A. N. Saidel and W. K. Prokofjew and S. M. Rajskij, Tafeln der Spektrallinien, Moskau-Leningrad, Staatsverlag für technisch-theoretische Literatur, 1952, 560 pp, 24R. 40 Kop., , in Russian;

8 52.03(0).01  C. Attwood, Advanced Five-Figure Mathematical Tables, London, Macmillan & Co. Ltd., 1951, 5+69 pp, 4s 6d, Nature 170 641 and Proc. Phys. Soc. (A) 65 678, 

9 52.03(0).02  P. Hustinx, Logarithmentafels, Haarlem, H. Stam, 1950, , f. 1.50, Hemel en Dampkring 50 113, 

10 52.03(0).03  A. J. Thompson, Logarithmetica Brittannica comma being a standard table of logarithms to twenty decimal places: Part II Numbers 20000 to 30000 together with a general introduction, Cambridge, University Press, 1952, 213 pp, , Math. Rev. 14 798, 

11 52.03(1).07  L. Couffignal, Les machines à penser, Paris, Les Editions de Minuit, 1952, 158 pp, , Math. Rev. 14 1021, 

12 52.03(1).12  G. A. Korn and T. M. Korn, Electronic Analog Computers, New York-London, McGraw-Hill, 1952, 378 pp, $7.00 and 59s 6d, Proc. Phys. Soc. (B) 66 340 and Science 116 371, 

13 52.03(1).20  F. A. Willers, Mathematische Maschinen und Instrumente, Berlin, Akademie-Verlag, 1951, 318 pp, DM 34.00, Österreichische Z. f. Vermessungswesen 40 156 and Phys. Blätter 8 189, 

14 52.03(0).25  , Review of Electronic Digital Computers comma joint AIEE-IRE Computer Conference, New York, American Institute of Electrical Engineers, 1952, 114 pp, $3.50, , 

15 52.05(0).01  T. A. Agekjan, Das Sternenall, Leningrad, Verlag Shdanow-Staatsuniv., 1952, 175 pp, 3R. 45 Kop., , in Russian;

16 52.05(0).02  D. Alter and C. H. Cleminshaw, Pictorial Astronomy, New York, Thomas Y. Crowell Co., 1952, 292 pp, $4.50, Sky Tel. 11 280 and Sky Tel. 12 76 and Strolling Astronomer 6 146, 

17 52.05(0).03  G. Armellini, I fondamenti scientifici della Astronomia, Milano, Ulrico Hoepli, 1952, 15+345 pp, Lire 2000, Coelum 20 89 and Mem SA It (NS) 23 248, 2nd edition;

18 52.05(0).04  R. H. Baker, An Introduction to Astronomy, New York, D. Van Nostrand, 1952, 306 pp, $4.00, Sky Tel. 11 280 and Sky Tel. 12 132, 4th edition;

