Entry format

Num AJB_ID Author [and author [and…]] [ed.|comp.], Title, Place, Publisher, year, description, price, review [and review [and …]], comments
149 58.13(0).44 M. K. Munitz, Space comma Time comma and Creation, , , , , , Science 128 526, reference AJB 57.13.45;

150 58.13(0).46 O. Neugebauer, The Exact Sciences in Antiquity, , , , , , Sky Tel. 18 162, reference AJB 57.13.48;

151 58.13(0).47 J. G. Perel, Die Entwicklung der Vorstellungen über das Weltall, Moskau, Phys.-Math. Staatsverlag, 1958, 352 pp, 6R. 30 Kop., AJ UdSSR 36 553 and Priroda 48 Nr. 3 121 and RJ UdSSR 1959 Nr. 7 2, 

152 58.13(0).53 R. Riekher, Fernrohre und ihre Meister, , , , , , Phys. Blätter 15 142 and RH 39 167, reference AJB 57.13.64;

153 58.13(0).62 H. De Terra, Alexander von Humbolt und seine Zeit, Wiesbaden, F. A. Brockhaus, 1956, 278 pp, DM 13.50, Naturwissenshaften 47 24, 

154 58.13(0).66 M. Vincent, Le mystère de la découverte de Neptune par Leverrier, Paris, Fischbacher, 1958, 35 pp, fr. 100, , 

155 58.13(0).68 E. Whittaker, From Euclid to Eddington, New York, Dover, 1958, 212 pp, $1.35, Sky Tel. 18 699, 

156 58.13(0).69 B. A. Woronzow-Weljaminow, Die Errungenschaften der sowjetischen Astronomie, Moskau, <<Snanie>>, 1958, 32 pp, 60 Kop., , in Russian;

157 58.13(0).72 P. G. Kulikowskij ed., Historisch-Astronomische Untersuchungen Band 4, Moskau, Staatsverlag Phys. Math. Literatur, 1958, 592 pp, 16R. 40 Kop., RJ UdSSR 1959 Nr. 6 3, in Russian;

158 58.13(0).73 , Aratos; Sternbilder und Wetterzeichen, München, Max Hueber Verlag, 1958, 120 pp, DM 11.80, , translated  by A. Schott;

159 58.13(0).74 , Aratos’ Phaenomena, Akron OH, W. I. Barnholth 2060 17th S. W., 1958, , $0.50, Publ ASP 70 522, translated  by W. I. Barnholth;

160 58.20(0).06 R. R. Dudley, Telescope Operation Manual for the Amateur Astronomer, , R. R. Dudley, , 44 pp, $1.00, Spaceflight 1 332, other published by the author; 

161 58.20(0).08 F. Gianni, L’astrofilo autocostruttore comma guida practica alla costruzuine di strumenti astronomici ad uso dei dilettanti, Genova, Briano, 1958, 127 pp, L 1200, Coelum 26 122, 3rd edition;

162 58.20(0).24 H. E. Neal, The Telescope, New York, Julian Messner, 1958, 192 pp, $3.50, Sky Tel. 17 419 and Sky Tel. 17 469 and Strolling Astronomer 12 29, 

163 58.20(0).29 G. D. Roth, Sternfreunde am Fernrohr, Murnau-München-Innsbruck-Basel, Verlag Sebastion Lux, 1958, 74 pp, DM 1.00, Gaz astr 40 49 and Mitt. Planetenbeobachter 11 64 and Mitt. Planetenbeobachter 11 66 and Sterne 35 47 and VdS Nachr. 7 87, 

164 58.20(0).34 J. Strong, Concepts of Classical Optics, San Francisco, W. H. Freeman and Co., 1958, 692 pp, $9.50, Sky Tel. 18 100, 

165 58.20(0).35 J. Texereau, How to Make a Telescope, , , , , , J RAS Canada 53 235, reference AJB 57.20.45;

166 58.20(1).54 M. W. Mayall, Manual for Observing Variable Stars, , , , , , J RAS Canada 53 48, reference AJB 57.20.57;

167 58.20(1).63 J. B. Sidgwick, Amateur Astronomer’s Handbook, London, Faber and Faber, 1958, , 63s, Mitt. Planetenbeobachter 12 12, 3rd edition;reprint of AJB 55.20.72;

168 58.20(1).64 J. B. Sidgwick, Observational Astronomy for Amateurs, London, Faber and Faber Ltd., 1957, , 50s, Mitt. Planetenbeobachter 12 12, reprint of AJB 55.20.73;

169 58.21(0).06 R. Brandt, Das Fernrohr des Sternfreundes, Stuttgart, Franckh’sche Verlagsbuchhandlung, 1958, 78 pp, DM 6.80, Mitt. Plantenbeobachter 12 63 and VdS Nachr. 7 93, 

170 58.21(0).14 C. Frank, Book of the Telescope, Glasgow, C. Frank, 1958, 139 pp, 5s 6d, , other author’s edition?; other see also AJB 58.21.54; 

171 58.21(0).53 F. B. Wood ed., The Present and Future of the Telescope of Moderate Size, Philadelphia, University of Pennsylvania Press, 1958, 219 pp, $5.00 and 40s, Irish AJ 5 61 and JBAA 68 328 and PAT 40 159 and Sky Tel. 17 364 and Sky Tel. 17 524 and Spaceflight 2 31, also published London-Bombay-Karachi: Oxford University Press;

172 58.21(0).54 C. Frank, Frank’s Book of the Telescope, Glasgow, Charles Frank, 1958, 132 pp, 5s 6d, Sky Tel. 18 161, other see also AJB 58.21.14; 

173 58.22(1).73 R. R. Aparissi and B. A. Garf, Die Ausnutzung der Sonnenenergie, Moskau-Leningrad, Verlag Akad. Wiss. UdSSR, 1958, 60 pp, 85 Kop, Priroda 48 Nr. 4 123, in Russian;

174 58.22(1).76 J. G. Koloss, Untersuchung der Wärmeeigenschaften parabolzylindrischer Sonnenöfen bei verschiedenen Temperaturen und Drunken des Wassers im Kessel, Moskau, Energiewirtschaftl.  Inst. Akad. Wiss. UdSSR, 1957, , , , in Russian;

175 58.22(2).82 H. Baines, The Science of Photography, London, Fountain Press, 1958, 309 pp, $7.50, J. Optical Soc. America 49 492, also published New York: John Wiley & Sons;

176 58.23(0).27 A. Lübke, Die Uhr: Von der Sonnenuhr zur Atomuhr, Düsseldorf, VDI-Verlag, 1958, 9+441 pp, DM 88.50, , 

177 58.31(0).09 E. P. Fjodorow, Die Nutation und die erzwungene Bewegung der Erdpole aus Breitenbeobachtungen, Kiew, Verlag Akad. Wiss. Ukrain. Sowjetrepublik, 1958, 144 pp, 30 Kop., , in Russian;

178 58.31(0).23 M. Waldmeier, Leitfaden der astronomischen Orts- und Zeit-bestimmung, Aarau, Verlag H. R. Sauerländer & Co., 1958, 90 pp, , , 2nd edition;

179 58.33(0).01 U. Bachr, Tafeln zur Behandlung chronologischer Probleme I-III, , , , , , Z. Assyriologie (NF) 19 319, reference AJB 55.33.02;

180 58.33(0).04 F. K. Ginzel, Handbuch der mathematischen und technischen Chronologie; Das Zeitrechnungswesen der Völker Band I-III, Zwickau, Ullmann, 1958, 584+597+445 pp, DM 180.00, , 

181 58.41(0).02 V. Areidiacono, Come si evolvono I Cieli: Origine ed evoluzione dell’Universo, Messina, Rizzo-Nervo, 1958, 452 pp, L 1500, Coelum 26 170, 

182 58.41(0).13 F. P. de Bulhoes Carvalho, Estrutura e Evoluçao do Universo, Rio de Janeiro, Ed. Borsoi, 1958, 500 pp, 500.00 curz., , 

183 58.41(0).15 J. A. Coleman, Relativity of the Layman, New York, The New American Library, 1958, 127 pp, $0.50, Science 129 144, 

184 58.41(0).23 A. Einstein, Grundzüge der Relativitätstheorie, , , , , , Z. angew. Phys. 12 48, reference AJB 56.41.19;

185 58.41(0).24 A. Einstein, Istota teorii względności, Warszawa, PWN, 1958, 196 pp, 23 zł, , translated from English;in Polish;

186 58.41(0).49 G. C. McVittie, General Relativity and Cosmology, , , , , , Astronaut. Acta 4 166, reference AJB 56.41.57;

187 58.41(0).56 W. Pauli, Theory of Relativity, London-New York-Paris-Los Angeles, Pergamon Press Ltd., 1958, 14+241 pp, 35s, Phys. Abstracts (A) 62 879 and Phys. Blätter15 377, reprint of AJB 23.24.24;translated from German by G. Field;in English;

188 58.41(0).57 W. Pauli, Teoria dell relatività, Torino, Editore P. Boringhieri, 1958, 14+323 pp, L 3000, Coelum 26 168, reprint of AJB 23.24.24;translated from German by P. Gulmanelli;in Italian;

189 58.41(0).63 E. Ruechardt, Light: Visible and Invisible, Ann Arbor, University of Michigan Press, 1958, 201 pp, $4.50, Sky Tel. 17 646, 

190 58.42(0).10 E. Finlay-Freundlich, Celestial Mechanics, London-New York-Paris-Los Angeles, Pergamon Press, 1958, 8+150 pp, £2 10s and $7.50, Ciel et Terre 75 231 and Geophys. J. 2 386 and PAT 40 158 and Publ ASP 71 352 and Science 130 36 and Sky Tel. 18 344 and Sky Tel. 18 402 and ZfMG 82 235, 

191 58.42(0).22 E. Leimanis, Some recent advances in the dynamics of rigid bodies; Survey in Applied Mathematics vol. 2, New York, John Wiley & Sons Inc., 1958, 12+206 pp, $7.75, Math. Rev. 20 476, also published London: Chapman & Hall Ltd.;

192 58.42(0).35 H. Poincaré, Les méthodes nouvelles de la mécanique céleste, , , , , , BSAF 73 188 and ZfMG 79 238, reference AJB 57.42.22;

193 58.43(0).01 W. S. Jardetzky, Theories of Figures of Celestial Bodies, New York-London, Interscience Publishers, 1958, 11+186 pp, $6.50, Phys. Blätter 15 428, 

194 58.44(0).14 R. Kurth, Introduction to the Mechanics of Stellar Systems, , , , , , AJ UdSSR 36 746 and La Nature 86 158 and Math. Rev. 19 1141 and Nature 181 1029 and Naturwissenschaften 45 324 and RM UdSSR 1959 Nr. 3 38 and Science 127 1111, reference AJB 57.44.10;

195 58.44(0).18 K. F. Ogorodnikow, Dynamik von Sternesystemen, Moskau, Staatsverlag für Physikalisch-Mathematische Literatur, 1958, 627 pp, 17R. 40 Kop., , in Russian;

196 58.50(0).02 L. H. Aller, Astrofizika II Teil, Moskau, Verlag für ausländische Literatur, 1957, 325 pp, 17.80R., RH 39 190, reprint of AJB 54.50.01;translated from English;

197 58.50(0).04 F. A. Baum and S. A. Kaplan and K. P. Stanjukowitsch, Einführung in die kosmische Gasdynamik, Moskau, Phys.-Math. Staatsverlag, 1958, 424 pp, 13R. 50 Kop., RJ UdSSR 1959 Nr. 9 35, in Russian;

198 58.50(0).09 J. W. Dungey, Cosmic Electrodynamics, Cambridge, At the University Press, 1958, 9+183 pp, 32s 6d and $6.00, Ciel et Terre 74 473 and J. appl. Phys. 29 1775 and J. Atmosph. Terr. Phys. 17 179 and Nature 184 1672 and Naturwissenschaften 46 500 and Obs 79 155 and Proc. Phys. Soc. 73 978 and Sky Tel.17 648 and ZfA 47 135 and ZfMG 81 240 and Z. Naturforschung 14a 1003, other Cambridge Monographs on Mechanics and Applied Mathematics; 

199 58.50(0).11 H. C. van de Hulst, Light Scattering by Small Particles, , , , , , Nature 182 1470 and Nouvo Cimento (10) 10 414, reference AJB 57.50.09;

200 58.50(0).19 S. Flügge ed., Handbuch der Physik Band 50 Astrophysik I Sternoberflächen Doppelsterne, Berlin-Göttingen-Heidelberg, Springer-Verlag, 1958, 7+458 pp, DM 78.40, Ann d’Astrophys 22 191 and Gaz astr 40 28 and J. Atmosph. Terr. Phys. 14 350 and Mem SA It (NS) 29 350 and Nature Nr. 4688 3 and Naturwissenschaften  45 580 and Proc. Phys. Soc. 72 319 and Publ ASP 70 332 and RJ UdSSR 1959 Nr. 7 29 and Science 128 528 and Sky Tel. 18 162 and Sky Tel. 18 214 and ZfA 45 239, 

201 58.50(0).20 S. Flügge ed., Handbuch der Physik Band 51 Astrophysik II Steraufbau, Berlin-Göttingen-Heidelberg, Springer-Verlag, 1958, 8+831 pp, DM 175.00, Ann d’Astrophys 22 290 and Gaz astr 40 68 and Naturewissenschaften 46 459 and Proc. Phys. Soc 74 232 and Science 129 1734 and Sky Tel. 18 399 and ZfA 48 156, 

202 58.50(0).21 V. A. Ambarzumjan ed., Theoretical Astrophysics, London-New York-Los Angeles-Paris, Pergamon Press, 1958, 15+645 pp, £6 15s and $22.50, Ann d’Astrophys 21 163 and Endeavour 18 52 and Irish AJ 5 54 and J RAS Canada 52 281 and La Nature 86 510 and Nature 182 548 and Phys. Abstracts (A) 61 343 and Sky Tel. 17 419 and Sky Tel. 17 523 and ZfA 46 280 and Z. Naturforschung 14a 588, reprint of AJB 52.50.16;translated from Russian by J. B. Sykes;in English;

203 58.51(0).37 , Nestacionarnyje zvezdy, Erewan, Verlag Akad. Wiss. Armen. Sowjet Republik, 1957, 187 pp, R 7.80, RH 39 71, 

204 58.52(0).04 S. Chandrasekhar, An Introduction to Stellar Structure, , , , , , BSAF 73 189 and ZfMG 79 239, reference AJB 57.52.06;

205 58.52(0).24 M. Schwarzschild, Structure and Evolution of the Stars, Princeton, Princeton University Press, 1958, 17+296 pp, $6.00, Obs 79 152 and PAT 40 78 and Phys. Blätter 16 40 and Publ ASP 70 621 and Sky Tel. 17 525 and Sky Tel. 18 99 and Z. Naturforschung 14a 587, 

206 58.52(0).33 H. Vogt, Aufbau und Entwicklung der Sterne, , , , , , Weltraumfarht 1958 64, reference AJB 57.52.29;

207 58.53(0).05 S. A. Kaplan, Interstellare Gasdynamik, Moskau, Phys.-Math. Staatsverlag, 1958, 194 pp, 7R. 15 Kop., RJ UdSSR 1959 Nr. 8 28, in Russian;

208 58.54(0).19 E. Schatzman, Origine et évolution des mondes, , , , , , Scientia 93 248, reference AJB 57.54.24;

209 58.54(0).27 W. Zonn, Ewolucja gwiazd, Warszawa, Państwowe Wydawnictwo Naukowe, 1958, 271 pp, 25 zł, , 

210 58.54(0).28 , Fragen der Kosmogonie Band 5, Moskau, Verlag Akad. Wiss. UdSSR, 1957, 298 pp, 13.75R., RH 39 189, in Russian;

211 58.60(0).02 G. Abetti, The Sun, , , , , , La Nature 86 118, reference AJB 57.60.02;

212 58.60(0).07 R. A. Gallent, Exploring the Sun, , Garden City Books, 1958, 56 pp, $2.50, Sky Tel. 18 44, 

213 58.60(0).09 K. O. Kiepenheuer, Die Sonne, , , , , , La Nature 86 158, reference AJB 57.60.09;

214 58.60(0).11 E. Lalou, Le soleil, Paris, R. Delpire, 1958, 108 pp, , Ann d’Astrophys 21 229, 

215 58.60(0).13 H. W. Newton, The Face of the Sun, London, Penguin Books, 1958, 208 pp, 3s 6d, J RAS Canada 53 236 and NAT 1958 143 and Obs 79 25 and Publ ASP 71 249 and Sky Tel. 18 278 and Sky Tel.  18 461, 

216 58.60(0).16 G. P. Kuiper ed., The Solar System Vol. 1 The Sun, Moskau, Verlag für ausländische Literatur, 1957, 609 pp, 42.15R., RH 39 71, reprint of AJB 53.60.15;in Russian;

217 58.64(0).19 M. Migeotte and L. Neven and J. Swensson, The Solar Spectrum from 2.8 to 23.7 microns, , , , , , Scientia 93 330, other vol 1 reference AJB 56.64.20; other vol 2 reference AJB 57.64.19; 

218 58.67(0).19 M. Waldmeier, Die Sonnenkorona II Struktur und Variationen der monachromatischen Korona, , , , , , J. Atmosph. Terr. Phys. 12 87 and Nature 181 871 and Naturwissenschaften 45 251, reference AJB 57.67.38;

219 58.68(0).13 M. S. Eigenson, Abriß der physikalisch-geographischen Erscheinungen der Sonnentätigkeit, , , , , , RH 39 189, reference AJB 57.68.09;

220 58.68(0).17 M. A. Ellison, El Sol y su influencia, Mexico, Univ. Nac. Autón., 1957, 243 pp, pesos 35.00, , reprint of AJB 55.68.17;translated from English;

221 58.68(0).73 , Physik der solaren Korpuskularströme und ihre Einwirkung auf die obere Erdatmosphäre, Moskau, Verlag Akad. Wiss. UdSSR, 1957, 288 pp, 17.45R., RH 39 190, reprint of AJB 57.68.45;in Russian;

222 58.70(0).01 , Planetary Co-ordinates for the Years 1960—1980 comma referred to the equinox 1950.0, London, Her Majesty's Stationary Office, 1958, 19+160 pp, £1 10s, Irish AJ 5 60 and NAT 1958 105 and Obs 78 262 and RH 39 215 and Sky Tel. 17 525 and Southern Stars 17 170 and ZfA 46 217, 

223 58.70(0).05 F. M. Branley, The Nine Planets, New York, Thomas Y. Crowell Co., 1958, 78 pp, $3.00, Sky Tel. 18 344 and Sky Tel. 18 521, 

224 58.70(0).09 R. A. Gallant, Exploring the Planets, , Garden City Books, 1958, 123 pp, $2.95, Sky Tel. 18 44, 

225 58.70(0).22 W. W. Scharonow, Die Natur der Planeten, Moskau, Plysikalisch-Mathematischer Staatsverlag, 1958, 552 pp, 19R 5 Kop, Priroda 47 Nr. 8 123 and RH 39 263 and RJ UdSSR 1959 Nr. 1 56, in Russian;

226 58.70(0).28 S. K. Wsechswjatskij, Die Kleinkörper des Sonnensystems, Moskau, Technischer Staatsverlag, 1958, 48 pp, 80 Kop., Priroda 47 Nr. 7 125, in Russian;

227 58.71(0).20 P. Moore, The Planet Venus, , , , , , Science 128 354, reference AJB 57.71.25;

228 58.72(1).04 R. N. C. Bowen, The Exploration of Time, New York, Philosophical Library, 1958, 7+143 pp, $6.00, Publ ASP 70 522 and Sky Tel. 17 648 and Sky Tel. 18 274 and Sky Tel. 18 277, 

229 58.72(1).17 D. R. Bates ed., The Planet Earth, , , , , , Ann. Géophys. 14 237 and J. Atmosph. Terr. Phys. 12 87 and La Nature 86 245, reference AJB 57.72.15;

230 58.72(1).18 , Planet Earth, Washington, National Academy of Sciences, 1958, , $0.50, Sky Tel. 19 181, 

231 58.72(1).19 W. I. Kejlis-Borok and A. A. Saukow ed., Physik und Chemie der Erde, Moskau, Verlag für Ausländische Literatur, 1958, 313 pp, 17R., , translated from English;in Russian;

232 58.72(2).30 A. Defant and F. Defant, Physikalische Dynamik der Atmosphäre, Frankfurt/Main, Akademische Verlagsgesellshaft m. b. H., 1958, 15+527 pp, DM 60, , 

233 58.72(2).34 L. Foitzik and H. Hinzpeter, Sonnenstrahlung und Lufttrübung; Probleme der Kosmischen Physik Band 31, Leipzig, Akademische Verlagsgesellschaft Geest und Portig, 1958, 9+309 pp, DM 43.00, Beiträge Phys. Atmosphäre 32 125 and Gerlands Beiträge Geophys. 68 188 and Phys. Ber. 38 800 and Sky Tel. 18 219 and ZfA 47 208 and Z. Naturforschung 14a 768, 

234 58.72(2).39 W. I. Krassowskij, Die Untersuchungen der Hochatmosphäre mit Hilfe künstlicher Erdsatelliten und Raketen, Moskau, <<Snanie>>, 1958, 30 pp, 60 Kop., , in Russian;

235 58.72(2).43 F. Link and L. Neužil, Raketové lety a výzkum vysoké atmosféry, , , , , , Vesmir 37 174, reference AJB 57.72.34;

236 58.72(2).45 H. S. W. Massey and R. L. F. Boyd, The Upper Atmosphere, London, Hutchinson & Co., 1958, 12+333 pp, 63s, Nature 182 1629 and Phys. Abstracts (A) 62 88, 

237 58.72(6).108 L. Barnier, Le Terre comma planète inconnue; l’Année Géophysique, Paris, Savoir et Connaître, 1957, 10 fig., F. 390, , 

238 58.72(6).113 R. Fraser, Once Round the Sun; The Story of the International geophysical Year, New York, The Macmillan Company, 1958, , , Sky Tel. 17 197 and Spaceflight 1 225 and Strolling Astronomer 11 140, reprint of AJB 57.72.94;

239 58.72(6).116 M. O. Hyde, Exploring Earth and Space; the Story of the I.G.Y., New York, McGraw-Hill, 1957, 160 pp, $3.00, , 

240 58.72(6).125 B. Styra, Tarptautiniai geofiziniai metai, Vilnius, Vaist. Polit. moksl. lit. leidykla, 1957, 30 pp, 40 Kop., , 

241 58.72(6).133 , Annals of the International Geophysical Year, , , , , , Nature 181 726 and Nature 181 1097, reference AJB 57.72.136;

242 58.72(6).134 , Guide to the I.G.Y. International Geophysical Year 1957—8, , , , , , JBAA 69 50 and La Nature 86 118 and Scientia 93 21, reference AJB 57.72.137;

243 58.72(6).141 H. Odishaw and S. Ruttenberg ed., Geophysics and the IGY, Washington DC, American Geophysical Union, 1958, 210 pp, $8.00, Sky Tel. 17 587, 

244 58.72(6).142 , O mezinárodním geofysikálním roce, Prag, Verlag naše vojsko, 1958, 258 pp, Kčs 14.60, RH 39 188, in Tschech;

245 58.72(7).172 K. Rawer, The Ionosphere, London, Crosby Lockwood and Son, 1958, 202 pp, 42s, Endeavour 18 107 and Geophys. J. 1 267 and J. Atmosph. Terr. Phys. 12 223 and Nature 182 1116 and Obs 79 24 and Proc. Phys. Soc. 72 682, translated from German;

246 58.72(10).237 S. I. Issajew and N. W. Puschkow, Polarlichter, Moskau-Leningrad, Verlag Akad. Wiss. UdSSR, 1958, 114 pp, 3R. 25 Ko., Priroda 48 Nr. 3 21, in Russian;

247 58.73(1).03 D. Alter, Introduction to the Moon, Los Angeles, Griffith Observatory, 1958, 108 pp, $1.65, J. International Lunar Soc. 1 68 and Publ ASP 70 519 and Strolling Astronomer 12 101 and Sky Tel. 17 471 and Sky Tel. 17 647 and Spaceflight 2 30, 

248 58.73(1).06 R. B. Baldwin, The Face of the Moon, Chicago, The University of Chicago Press, 1958, 239 pp, $6.00, , 2nd edition;other the first edition was AJB 49.73.03; 

249 58.73(1).24 W. Horbacki, Ksieżyc; Wybrane zagadnienia, Warszawa, <<Wiedza Powszechna>>, 1957, 39 pp, 2 zł, , 

250 58.73(1).31 W. Nephew and M. Chester, Moon Trip, London, Putnam & Co. Ltd., 1958, 63 pp, $2.50, Sky Tel. 18 278 and Sky Tel. 18 343, 

251 58.73(1).49 H. P. Wilkins, Our Moon, London, Frederick Muller, 1958, 180 pp, 15s, Spaceflight 1 300, 

252 58.73(4).79 A. Dauvillier, Le Volcanisme Lunaire et Terrestre, Paris, Editions Albin Michel, 1958, 300 pp, fr. 1200, Sky Tel. 17 471, 

253 58.74(0).55 W. A. Webb, Mars comma the New Frontier; Lowell’s Hypothesis, San Francisco, Fearon Publishers, 1956, 141 pp, $5.00, Publ ASP 71 250, 

254 58.76(0).17 B. M. Peek, The Planet Jupiter, New York, Macmillan, 1958, 283 pp, $8.50 and 42s, El Universo Nr. 46 46 and Hemel en Dampkring 56 221 and J. British Interplanetary Soc. 16 556 and L’Universo 38 826 and NAT 1958 103 and Obs 78 213 and Publ ASP 70 662 and Science 128 410 and Sky Tel. 17 364 and Sky Tel. 17 645 and Spaceflight 2 92 and Strolling Astronomer 12 102, also published London: Faber & Faber Ltd.;

255 58.80(0).18 S. W. Orlow, Über die Natur der Kometen, Mokau, Verlag Akad. Wiss. UdSSR, 1958, 188 pp, 2R. 80 Kop., Priroda 47 Nr. 10 124, in Russian;

256 58.80(0).21 L. M. Pajdušáková, Kometen und ihre Entdeckung, Moskau, <<Snanie>>, 1958, 24 pp, 60 Kop., , in Russian;

257 58.80(0).27 W. Szulakowski, Komety, Warszawa, <<Wiedza Powszechna>>, 1958, 44 pp, 2 zł, , 

258 58.80(0).33 S. K. Wzechswjatskij, Die physikalischen Merkmale der Kometen, Moskau, Staatsverlag Phys.-Math. Literatur, 1958, 575 pp, 27R., RH 39 214, in Russian;

259 58.82(0).01 I. S. Astapowitsch, Meteorerscheinungen in der Erdatmosphäre, Moskau, Staatsverlag Phys.-Math. Literatur, 1958, 640 pp, 23R. 50 Kop., AJ UdSSR 36 555 and J RAS Canada 53 181 and Priroda 48 Nr. 5 122 and RJ UdSSR 1959 Nr. 9 64, in Russian;

260 58.82(0).46 A. C. B. Lovell, Meteorastronomie, Moskau, Phys.-Math Staatsverlag, 1958, 488 pp, 17R. 80 Kop., Priroda 48 Nr. 3 121, reprint of AJB 54.82.38;translated from English;in Russian;

261 58.82(0).54 E. J. Öpik, Physics of Meteor Flight in the Atmosphere, New York-London, Interscience Publishers, 1958, 8+174 pp, $3.85 and 1.95s, Endeavour 18 167 and Publ ASP 71 477 and Science 129 1354 and Sky Tel. 18 522 and Sky Tel. 18 577 and ZfMG 82 238, other Interscience Tracts on Physics and Astronomy Nr. 6; 

262 58.83(0).01 G. I. Agajan, Meteorite comma ihre Zusammensetzung und Herkunft, Dnepropetrowsk, Gebietsverlag, 1956, 18 pp, , , in Russian;

263 58.83(0).20 F. Heide, Kleine Meteoritenkunde, , , , , , Geochim. Cosmochim. Acta 14 180 and La Nature 86 158 and Meteoritika Nr. 17 140 and Sterne 35 45 and Sternenbote 2 136, reference AJB 57.83.18;

264 58.83(0).31 E. L. Krinow, Meteorite, Moskau, Physikalisch-Mathematischer Staatsverlag, 1958, 106 pp, 1R. 65 Kop., Priroda 47 Nr. 11 121, in Russian;

265 58.91(0).29 , Zwieter Katalog der Astronomischen Gesellschaft für das Äquinoktium 1950; Örter der Sterne bis zur neunten Größe zwischen dem Nordpol und 2° südlicher Deklination comma abgeleitet aus photographischen Himmelsaufnahmen der Sternwarten Bergedorf und Bonn unter Leitung von R. Schorr und A. Kohlschütter 12 Band Deklination +10° bis +15°, Bonn, , 1958, 304 pp, , , other Band 13 Deklination +5° biz +10° 1958 356 pp; other Band 14 Deklination +0° biz +5° 1958 320 pp; other Band 15 Deklination +2.5° biz 0° 1958 154 pp; 

266 58.91(0).30 , Observatoire de l’Université de Bordeaux comma Catalogue méridian de 2.024 étoiles repères de la zone +11° à +18° comma Equinoxe 1950.0 comma système FK3 comma époque moyenne de l’observation 1953, Paris, Centre National de la Rechersche Scientifique, 1958, 55 pp, , , 

267 58.91(0).34 , Melbourne Astrographic Catalogue 1900.0 Vol. 6 Zones -75° comma -76° and -77° comma Rectangular co-ordinates and diameters of star images from photographs take at Melbourne Observatory and measured and prepared for publication under the direction of Government Astronomers for Victoria R.L. J. Ellery and P. Baracche and J. M. Baldwin and Government Astronomer for New South Wales H. Wood, Paris, , 1958, 14+283 pp, , , 

268 58.91(0).35 , Melbourne Astrographic Catalogue 1900.0 Vol. 7 Zones -78° comma -79° comma -80° and -81° comma Rectangular co-ordinates and diameters of star images from photographs take at Melbourne Observatory and measured and prepared for publication under the direction of Government Astronomers for Victoria R.L. J. Ellery and P. Baracche and J. M. Baldwin and Government Astronomer for New South Wales H. Wood, Paris, , 1958, 15+244 pp, , , other published under the auspices of the International Astronomical Union; 

269 58.91(0).36 J. Hass ed., Geschichte des Fixsternhimmels comma enthalrtend die Sternörter der Kataloge des 18 und 19 Jahrhunderts comma  Abteilung II comma Der südliche Sternhimmel Band 17 comma 16ʰ Rektaszension, Karlshuhe, Kommissionsverlag G. Braum, 1958, 14+496 pp, DM 30.00, , 

270 58.91(1).39 A. Bečvář, Atlas Elipticalis, Prag, Verlag Akad. Wiss., 1958, 1 pp + 23 Charts, Kčs 123, BAC 10 80 and Obs 79 25 and Sky Tel. 18 161 and RH 39 287 and Vesmír 37 317, 

271 58.91(1).40 A. Bečvář, Atlas Coeli 1950.0, Prag, Verlag Akad. Wiss., 1598, 16 charts, Kčs 60, NAT 1959 33 and RH 39 213, 3rd edition;other second edition is AJB 56.91.23; 

272 58.91(1).41 V de Callataÿ, Atlas of the Sky, London, Macmillan & Co., 1958, 157 pp, $12.50, Endeavour 17 227 and J RAS Canada 53 144 and Obs 78 175 and Proc. Phys. Soc. 73 983 and Publ ASP 70 627 and Science 128 834 and Sky Tel. 17 419 and Sky Tel. 17 584 and Strolling Astronomer 12 68, reprint of AJB 55.91.29;translated from French by H. Spencer Jones;also published New York: St. Martin's Press;in English;

273 58.91(1).43 B. Ernst and T. E. de Vries, W. P. Atlas van het Heelal, Amsterdam-Brüssel, Elsevier, 1958, 220 pp, hfl. 19.50, Hemel en Dampkring 56 217, 

274 58.91(1).44 P. Kalaja, Atlas över norra stjärnhimlen för Skandinavien, Stockholm, Svenska Bokförlaget Bonniers, 1958, 13 pp, Schw Kr. 12.50, PAT 39 81, translated from Finnish;in Swedish;

275 58.91(1).46 G. B. Lacchini, Atlante celeste spettroscopico, Faenza (Ravenna), , 1958, 40 tables, L. 2000, Coelum 26 147, other Preis der ersten 22 tafeln; 

276 58.91(1).48 A. A. Michajlow, Sternatlas, Moskau-Leningrad, Akad. Wiss. UdSSR, 1958, 13 pp, 2R. 50 Kop., , 3rd edition;in Russian;

277 58.91(1).49 A. D. Mogilko, Schul-Sternatlas, Moskau, Lehr-Pädagogischer Staatsverlag, 1958, 33 pp, 6R. 50 Kop., , in Russian;

278 58.91(1).52 O. Thomas, Sternzeirger für die Rocktasche des Himmelsfreundes, Salzburg-Stuttgart, Verlag Das Bergland-Buch, 1958, , DM 1.90, Coelum 26 169 and Sterne 35 128 and VdS Nachr. 8 60, 

279 58.91(1).54 E. O. Tancock ed., Philip’s Chart of the Stars, London, George Philip, 1958, , 7s, JBAA 68 274, 2nd edition;other 1st edition AJB 57.91.53; 

280 58.91(1).55 , A New Popular Star Atlas, London, Gall & Inglis, , , 6s, NAT 1958 106, 

