Entry format

Num AJB_ID Author [and author [and…]] [ed.|comp.], Title, Place, Publisher, year, description, price, review [and review [and …]], comments
32 58.05(0).14 M. Davidson, Astronomie voor iederen, Zutphen, W. J. Thieme en Cie, 1957, 11+416 pp, hfl. 12.50, Hemel en Dampkring 56 193 and Meteoor 14 41, edited by H. Hubenet and G. Tieman;other see also AJB 54.05.09; 

33 58.05(0).15 J. Dommanget, Exploration du ciel, , , , , , BSAF 73 189, reference AJB 57.05.21;

34 58.05(0).16 J. Dommanget, Speurtocht Langs de Sterren, Namur, Les Editions du Soleil Levant, 1958, , fr. 20, Gaz astr 40 50 and Hemel en Dampkring 57 132, 

35 58.05(0).17 A. S. Eddington, Sterne und Atome, Göttingen, Vandenhoeck und Ruprecht, 1958, 92 pp, DM 2.40, , 4th edition;translated from English;

36 58.05(0).18 I. O. Evans, Discovering the Heavens, , Hutchinson, 1958, 208 pp, 12s 6d, Spaceflight 2 32, 

37 58.05(0).19 K. Fladt and H. Seitz, Astronomie, , , , , , Orion Schaffhausen 5 683, reference AJB 57.05.25;

38 58.05(0).20 G. Gamow, Matter comma Earth comma and Sky, Englewood Cliffs NJ, Prentice-Hall Inc., 1958, 11+593 pp, $10.00, Science 128 587, 

39 58.05(0).21 M. U. Gaschimsade, Astronomie, Baku, , 1957, 124 pp, , , in Aserbejdshan;

40 58.05(0).22 L. Herzog, Notre système solaire, Niederbronn-les-Bains, Impr. Commerc., 1958, 8 pp, , , 

41 58.05(0).23 K. Heuer, An Adventure in Astronomy, , Viking, 1958, 127 pp, $3.50, Sky Tel. 18 278, 

42 58.05(0).24 F. Hoyle, Den sorte Taage, Kopenhagen, E. Wangels Verlag, 1958, , , Urania København 15 80, reprint of AJB 55.05.23;translated from English by G. Dunker;

43 58.05(0).25 M. Joffe, La conquista delle stelle, Mailand, A. Mondadori, 1958, 725 pp, L 9000, , 

