"BookID","Title","Copyright","Edition","Printing","PurchaseDate","PurchasePrice","PurchasedFrom","PublishedAt","Publisher","Condition","Description","Comments","Wanted","AccessionNumber"
1565,"An Introduction to the Study of Eclipsing Variables",1946,1,,03/30/2015 0:00:00,$34.50,218,"Cambridge MA",84,"Very Good","9"" x 6"", x, 220 pp, red cloth with gold stamped spine, dustjacket vg","Name and address of R. F. Rodger on front pastedown, Harvard Observatory Monographes number 6",0,446
1566,"Through Rugged Ways to the Stars",1969,1,,,$0.00,,"New York",44,"Very Good","9 1/4"" x 6 1/4"", (6), 180 pp, red cloth w/dustjacket vg price clipped","gift of Van Robinson, first name of Van on front free endpaper, dedication to 'Charlie for/graduation/ June, 1969/with love,from,Evelyn + Margaret', Scribners Scientific Memoirs",0,447
1567,"The Upper Atmosphere",1958,1,,,$0.00,,"London",257,"Good","9"" x 6"", xii, 333 pp, blue cloth, silver stamped spine, no dust jacket, front free end paper ripped out.","given by Katheryn Busby, Hobby Eberly Telescope, McDonald Observatory 30 Mar 2015",0,448
1568,"Radio Astronomy",1963,,,,$0.00,,"New York",33,"Good","9"" x 6"", xii, 260 pp,  grey cloth, black and gold blind stand on spine and front cover, do dust jacket, fron free end paper ripped out","given by Kathyrn Busby Hobby Eberly Telescope, McDonald Observatory 30 Mar 2015, originally published in French under the title Radioastronomie copyright 1960 Paris, Dunod.",0,449
1569,"The Exploration of Space by Radio",1957,1,,,$0.00,,"London",26,"Good","9 3/4"" x 6 1/4"", xii, 207 pp, blue cloth with silver stamped spine, no dust jacket","label removed on front free endpaper replaced by signature of Hamid Abdulfattah, given by Katheryn Busby Hobby Eberly Telescope McDonald Observatory",0,450
1570,"Radio Astronomy",1955,1,,,$0.00,,"Oxford",47,"Good","9 1/4"" x 6 1/4"", x, 361 pp, 24 pages of plates,black cloth with gold stamped spine, no dust jacket","given by Katheryn Busby Hobby Eberly Telescope, McDonald Observatory, ex. lib. Ewen Knight Corporation",0,411
1571,"Genius at Play: The Curious Mind of John Horton Conway",2015,1,1,08/24/2015 0:00:00,$27.00,120,"New York",258,"Fine","6 1/4"" x 9 1/2"", xxiv, 454 pp, black paper board with silver stamped spine, with dust jacket in fine.",,0,451
1572,"Henri Poincare; A Scientific Biography",2013,1,2,08/24/2015 0:00:00,$35.05,120,"Princeton NJ",34,"Fine","6 1/4"" x 9 1.8"", xii,592 pp, black cloth with gold stamped spine, dust jacket in fine.",,0,452
1573,"A Beginner's Guide to the Stars",1924,1,1,08/25/2015 0:00:00,$4.98,205,"New York",259,"Very Good","4 1/2"" x 7"", v, 86 pp, blue cloth with black bland stamped cover and spine, publisher's catalogue at end.","a popular book",0,453
1574,"Mathematical Works Printed in the Americas, 1554-1700",2009,1,1,08/25/2015 0:00:00,$19.98,205,"Baltimore MD",71,"Very Good","6 1/4"" x 9 1/4"", x, 373 pp, printed pictoral cover, bronze stamped cover and spine.",,0,454
1575,"The Day We Found the Universe",2009,1,1,08/25/2015 0:00:00,$9.98,205,"New York",193,"Very Good","6"" x 9 1/4"", xvii,337 pp, printed board, with half sized dust jacket,",,0,455
1576,"Revolutions in Science",1985,1,7,08/25/2015 0:00:00,$5.98,205,"Cambridge MA",84,"Very Good","6"" x 9 1/4"", xx, 711 pp, printed paper covers, (softcover),","some underlining in text",0,456
1577,"Home is Where the Wind Blows; Chapters from a Comologist's Life",1994,1,1,08/25/2015 0:00:00,$6.98,205,"Mill Valley CA",97,"Very Good","6 1/2"" x 9 1/2"", xi, 443 pp, red cloth with silver stamped spine, dust jacket in very good,",,0,457
1578,"New Handbook of the Heavens",1948,2,1,08/27/2015 0:00:00,$2.00,260,"New York",261,"Very Good","4 3/8"" x 7 1/8"", 240 pp, printed paper covers",,0,458
1579,"When The Stars Come Out",1934,1,9,08/27/2015 0:00:00,$10.00,260,"New York",159,"Very Good","5 1/2"" x 8 1/4"", ix188 pp, tan cloth with blind stamped design in blue on cover, title/author/publishers blind stamped in blue on spine. With dust jacket","possible owner sticker removed from front free end paper, a popular book",0,459
1580,"Simon Newcomb's Astronomy for Everybody",1932,1,1,08/27/2015 0:00:00,$5.00,260,"Garden City, NY",262,"Very Good","5 3/4"" x 6 1/2"", xix, 334 pp, blue cloth with blind stamped mustard ttile on cover and title/author/publisher on spine","Revised edtion by Robert H. Baker of the 1909 edition by Simon Newcomb, a popular book",0,460
1582,"Lectures on the Lunar Theory",1900,1,,11/11/1915 0:00:00,$250.00,6,"Cambridge",54,"Very Good","8 3/4"" x 5 3/4"", (4), 88 pp, blue cloth with god stamped spine","Books plates on inside front cover from ""W. de Sitter"" and ""Burndy Library"". Ownership mark on upper right corner of title page ""Demlieben Onkel De Sitter | P. E. | 28.VII.1914""",0,461
1583,"Stellar Movements and the Structure of the Universe",1914,1,,11/11/2015 0:00:00,$250.00,6,"London",82,"Very Good","8 3/4"" x 6 1/4"", xii, 266 pp, blue cloth, gold stamped spine  with blind stamped cover",,0,462
1584,"Manual of Geodetic Astronomy; Determination of Longitude, Latitude, and Azimuth",1947,1,,01/06/2016 0:00:00,$30.00,263,"Washington DC",264,"Very Good","9"" x 7"",xiv, 205 pp, w/index, brown paper wrapper","U.S. Department of Commerce, Coast and Geodetic Survey, Special Publication No. 237",0,463
1585,"An Astronomer's Life",1933,1,,01/08/2016 0:00:00,$0.00,,"Boston",62,"Very Good","8 1/4"" x 5 3/4"", xi, 300 pp, yellow cloth with red stamped lettering on cover and spine, some foxing on the foreedge","On front free end paper ""Inscribed for Mr. & Mrs. Charles Barnum | by the author | Edwin B. Frost"".  Gift to me from John Caldwel at McDonald Observatory.",0,464
1586,"Project Orion",1980,,,01/11/2016 0:00:00,$16.80,265,"Washington DC",264,"Fine","9"" x 6"", xii, 204 pp, printed paper covers","NASA SP-436",0,465
1587,"Principles of Stellar Dynamics",1942,,,01/11/2016 0:00:00,$150.00,266,"Chicago",14,"Very Good","9 1/2"" x 6 3/4"", x, 251 pp, blue paper covers","Owership mark of front cover of ""W. A. Hiltner:. Signed on title page by ""S. Chandrasekhar""",0,466
1588,"Secrets of the Hoary Deep; A Personal History of Astronomy",2008,1,1,01/30/2016 0:00:00,$6.74,152,"Baltimore",71,"Fine","9 1/4"" x 7 1/2"", xiii, 411 pp, black cloth, stamped spinein gold, index, notes, w/fine dust jacket",,0,467
1589,"Exploring the Universe with the IUE Satellite",1987,1,,01/30/2016 0:00:00,$13.50,152,"Dordrecht",32,"Fine","9 1/2"" x 7"", x, 787 pp, printed boards, no DJ issued, with errata sheet","Part of the University of Arizona Space Science Series",0,468
1590,"International Halley Watch Amateur Observers' Manual for Scientific Comet Studies",1983,1,2,01/30/2016 0:00:00,$4.49,152,"Cambridge MA",64,"Very Good","8 1/2"" x 11"", printed paper wraps","Originally published by NASA and JPL. Contains Part 1, Methods, and Part II, Ephemeris and Star Charts",0,469
1591,"The Comet Halley Archive Summary Volume",1991,1,,01/30/2016 0:00:00,$4.49,152,,31,"Very Good","8 1/2"" x 11"", printed paper wraps",,0,470
1592,"The Story of Astronomy in Edinburgh",1983,1,,04/04/2016 0:00:00,$20.00,135,"Edinburgh",242,"Fine","9 1/4"" x 6 1/2"", viii, 151 pp, black cloth, with silver stamped spine, no dust jacket","purchased in anticipation of travelling to the 2016 SPIE meeting in Edinburgh",0,471
1593,"Project Orion",1980,1,,04/21/2016 0:00:00,$4.95,268,"Washington DC",264,"Good","9"" x 6"", xii, 204 pp, printed paper covers","Full page plate before preface missing.",0,472
